"Author","CommR"
"Adjei__Seth",1
"Adl__Kiarash",64
"Ahmed__Saif",12
"Alamgir__Morteza",54
"Aleven__Vincent",24
"Alexandron__Giora",34
"Antonova__Rika",21
"Appiah.Kubi__Kwamena",75
"Ashby__Wade",3
"Atapattu__Thushari",74
"Baek__Jiye",69
"Baker__Ryan",24
"Bakharia__Aneesha",93
"Bala__Srinath",7
"Banerjee__Siddhartha",16
"Baraniuk__Richard_G.",30
"Basu__Soumya",2
"Bauer__Matthias",15
"Beattie__Rachel",10
"Beck__Joseph_E.",78
"Beckley__Chris",12
"Befferman__Tyler",57
"Bent__Oliver",18
"Beresford__Alastair_R.",22
"Berman__Susan_R.",38
"Bermudez__Manuel",17
"Bernstein__Michael_S.",5
"Bienkowski__Marie",48
"Bier__Norman_L.",4
"Biswas__Gautam",11
"Bogle__Leonard",58
"Botelho__Anthony",1
"Boulanger__David",8
"Brady__Katherine",11
"Brady__Katherine_A.",11
"Brasiel__Sarah",23
"Braude__Eric",35
"Breazeal__Cynthia",32
"Breslow__Lori",80
"Brooks__Christopher",20
"Brouns__Francis",51
"Bruckman__Amy",3
"Brunskill__Emma",21
"Bu__Jessica",77
"Burghardt__M.D.",57
"Canfield__Christopher_D.",35
"Carroll__John_M.",29
"Cassell__Justine",81
"Cerezo__Rebeca",17
"Chaplot__Devendra_Singh",50
"Cheatle__Amy",31
"Chen__Guanliang",44
"Chen__Meng_Chang",67
"Chen__Yvonne",14
"Chen__Zhongzhou",34
"Chhabra__Sukrit",28
"Chua__Soon_Hau",1
"Chuang__Isaac",59
"Chudzicki__Christopher",34
"Clarkes.Nias__Jaye",18
"Cliff__Alison",2
"Close__Kevin",23
"Cobos__Ruth",41
"Coe__Angela",47
"Coetzee__D.",2
"Coleman__Cody_A.",59
"Corrigan.Gibbs__Henry",7
"Cox__John",13
"Cross__Andrew",7
"Cui__Yi",82
"Culler__David",83
"Cummins__Stephen",22
"Cutrell__Edward",7
"D.Angelo__Cynthia",10
"Daskalakis__Constantinos",33
"Davies__Ian",22
"Davis__Dan",44
"Day__Scott",58
"DeBoer__Jennifer",80
"Delgado_Kloos__Carlos",26
"DeNero__John",2
"Desai__Purvi",5
"Deutsch__Amit",13
"DiCerbo__Kristen_E.",40
"Dillahunt__Tawanna",20
"Dix__Alan",88
"Domeniconi__Carlotta",12
"Donnelly__Christopher",1
"Donz...e.__Alexandre",45
"Dronen__Nicholas",49
"Dweck__Carol_S.",14
"Dzikovska__Myroslava_O.",66
"Enos__Ryan",1
"Eschrich__Joseph",27
"Espino__Jose_Antonio",17
"Essa__Alfred",8
"Evans__Brent_J.",11
"Falakmasir__Mohammad_H.",40
"Falkner__Katrina",74
"Fancsali__Stephen_E.",38
"Farrow__Elaine",66
"Feild__Jacqueline",8
"Feng__Mingyu",10
"Ferguson__Duncan_C.",53
"Ferguson__Rebecca",47
"Finn__Ed",27
"Firssova__Olga",51
"Fisher__Douglas",11
"Fisher__Douglas_H.",11
"Foltz__Peter_W.",49
"Forte__Andrea",28
"Fox__Armando",2
"Fraser__C._Ailie",5
"Fredericks__Colin",25
"Fu__Xiang",57
"G...u.lbahar__Yasemin",61
"Ga.v.s.evi...c.__Dragan",19
"Gainer__Mike",13
"Gajos__Krzysztof_Z.",1
"Gallagher__Silvia",71
"Galyardt__April",79
"Galyean__Tinsley",32
"Gamero.Garrido__Alexander",5
"Geigle__Chase",53
"Gelman__Ben_U.",12
"Gil__Silvia",41
"Ginn__Jasper",55
"Glassman__Elena",1
"Glassman__Elena_L.",65
"Goel__Ashok",3
"Goel__Ashok_K.",3
"Gogel__Hannah",6
"Goldberg__Ken",2
"Goldin__Ilya",79
"Gong__Yue",78
"Gonzalez.Brenes__Jos...e._P.",40
"Gordon__Geoffrey_J.",40
"Gottwald__Stephanie",32
"Grello__Thomas_M.",60
"Grover__Shuchi",48
"Guibas__Leonidas",42
"Guimbretiere__Francois",31
"Gupta__Nakull",7
"Habermehl__Kyle",49
"Haimovitz__Kyla",14
"Halawa__Sherif",36
"Halfond__Jay",35
"Hammer__Jessica",4
"Han__Kyungsik",29
"Hao__Dan",9
"Hartmann__Bjoern",2
"Hauff__Claudia",44
"Hauswirth__Matthias",48
"Hawkins__Robert",27
"Haynes__Daniel_F.",3
"Hearst__Marti_A.",2
"Heffernan__Neil",1
"Heffernan__Neil_T.",52
"Hicks__Catherine_M.",5
"Ho__Andrew",1
"Hou__Brian",2
"Houben__Geert.Jan",44
"Hough__Heather",10
"Howley__Iris",4
"Hu__Zhiting",9
"Huang__Allen",2
"Huang__Jonathan",42
"Irish__Liam",3
"Isbell__Charles",3
"Isbell__Charles_L.",63
"Jain__Sakshi",45
"Janisciewcz__Phil",23
"Jardine.Wright__Lisa",22
"Jeong__Soojeong",23
"Jia__Julianna_Zhuxin",4
"Jibril__Warfa",21
"Joachims__Thorsten",16
"Johri__Aditya",12
"Joksimovi...c.__Sre...c.ko",19
"Joseph__Sam",2
"Joyner__David",3
"Joyner__David_A.",3
"Ju__An",2
"Jung__Malte",31
"Juniwal__Garvit",45
"Kaashoek__Nicolaas",33
"Kalz__Marco",51
"Kao__Kevin",6
"Kasunic__Anna",4
"Kawai__Yukiko",43
"Kay__Jennifer_S.",60
"Keegan__Brian",1
"Kelly__Kim_M.",52
"Kiczales__Gregor",86
"Kim__Jae_Won",37
"Kim__Jihee",4
"Kim__Jihie",50
"Kim__Juho",1
"Kim__Meen_Chul",28
"Kim__Suin",37
"Kinai__Andrew",18
"Kinnebrew__John_S.",11
"Kinshuk",8
"Kizilcec__Ren...e._F.",36
"Klemmer__Scott",5
"Klemmer__Scott_R.",5
"Kode__Sandhya",8
"Koedinger__Ken",84
"Koedinger__Kenneth_R.",4
"Kolhe__Pushkar",63
"Kotturi__Yasmine",5
"Kovacs__Geza",92
"Kovanovi...c.__Vitomir",19
"Krause__Markus",1
"Kraut__Robert",4
"Krishnan__Sanjay",2
"Krumm__Andrew_E.",10
"Kruse__Otto",61
"Kulkarni__Chinmay",5
"Kulkarni__Chinmay_E.",5
"Kumar__Arkadeep",68
"Kumar__Neha",68
"Kumar__Viraj",7
"Kumar__Vive",8
"Kwon__Youngwook_Paul",76
"Labutov__Igor",16
"Lam__Yeeling",3
"Lamb__Anne",1
"Lan__Andrew_S.",30
"Langston__Jacob",3
"Lareo__Angel",41
"Lasecki__Walter_S.",1
"Lawanto__Kevin",23
"Lee__Brian",28
"Lee__Min_Hyung",21
"Lenaghan__Michael",13
"Lepp...a.nen__Leo",46
"Lewkow__Nicholas",8
"Li__Na",1
"Li__Xiang",9
"Linn__Marcia_C.",6
"Lipson__Hod",16
"Littlejohn__Allison",47
"Littman__Michael_L.",63
"Liu__Chuxiong",9
"Lopez__Glenn",25
"Lu__Jeffrey",2
"Lupiani__Isabel",3
"Lustig__Mike",3
"Luu__Kelvin",16
"Macfadyen__Leah_P.",62
"MacHardy__Zachary",6
"Maldonado__Jorge_J.",36
"Maldonado__Samuel",1
"Maldonado__Samuel_G.",1
"Martin__Caitlin_K.",39
"Martin__Taylor",23
"Martinez__Mario_M.",6
"Massimi__Michael",4
"Mavon__Kimia",1
"McAndrew__Patrick",56
"McBride__Elizabeth",6
"McLaughlin__Elizabeth_A.",4
"McMains__Sara",76
"Meinel__Christoph",15
"Miller__Robert_C.",65
"Mitra__Sugata",85
"Mitros__Piotr",89
"Miyamoto__Setsuko",43
"Mogalle__Marc",1
"Moghadam__Joseph",2
"Monsef__Kiyash",27
"Monserrat__Toni.Jan_Keith",1
"Moore__Johanna_D.",66
"Morris__Robin",32
"Mu...n.oz.Merino__Pedro_J.",26
"Mullaney__Tommy",1
"Mustafaraj__Eni",77
"Mutahi__Juliet",18
"Nacu__Denise",39
"Nakayama__Ken",1
"Narasimham__Gayathri",11
"Navarro.Suarez__Gerado",15
"Neill__Jacki_O.",7
"Nelimarkka__Matti",46
"Ngoon__Tricia",5
"Niekrasz__John",48
"Nitish__B.",7
"Nolan__Tyler_J.",60
"Nonnecke__Brandie",2
"Northcutt__Curtis",7
"Norvig__Peter",90
"Nu...n.ez__JCarlos",17
"O.Neill__Jacki",7
"O.Reilly__Una.May",64
"O.Rourke__Eleanor",14
"O.Shea__Timothy_M.M.",56
"Ogan__Amy",4
"Oh__Alice",37
"Orr__John",13
"Ostrow__Korinn",1
"Ostrow__Korinn_S.",52
"Ou__Chaohua",3
"Owers__James",19
"P...e.rez.Sanagust....i.n__Mar",36
"Pandey__Vineet",5
"Papathoma__Tina",47
"Pardos__Zachary",6
"Pardos__Zachary_A.",6
"Park__Jungkook",37
"Park__Thomas_H.",28
"Patikorn__Thanaporn",1
"Paule.Ruiz__MPuerto",17
"Peach__Erin",14
"Peterson__Joshua_C.",6
"Petrick__Dominic",15
"Pettoruto__Paige",3
"Piech__Chris",42
"Pijeira_D....i.az__H...e.ctor_J.",26
"Pinkard__Nicole",39
"Podkul__Timothy_E.",10
"Pohl__Henning",1
"Popescu__Octav",24
"Popovi...c.__Zoran",14
"Popovic__Zoran",14
"Pritchard__David_E.",34
"Rafferty__Anna",1
"Randles__Bernie",31
"Rapp__Christian",61
"Rayyan__Saif",25
"Reddy__Siddharth",16
"Reich__Justin",1
"Renz__Jan",15
"Revelle__Matt",12
"Rhim__Eunhee",50
"Rice__Andrew",22
"Riedesel__Mark",8
"Ritter__Steve",38
"Robert__Lionel",20
"Roll__Ido",62
"Romero__Crist...o.bal",17
"Roschelle__Jeremy",10
"Rose__Carolyn",4
"Rosenstein__Mark",49
"Rosson__Mary_Beth",29
"Roussev__Boris",13
"Rowland__Duncan",75
"Ruip...e.rez.Valiente__Jos...e._A.",26
"Ruiperez.Valiente__Jose_A.",34
"Runde__Joe",21
"Sahami__Mehran",42
"Sajjadi__Mehdi_S.M.",54
"Sanchez.Santillan__Miguel",17
"Sandilands__Debra",62
"Santofimia_Ruiz__Javier",26
"Sathi__Rowshan",15
"Savage__Timothy",71
