"Author","CommR"
"≈.ourek__G.",62
"≈.elezn√.__F.",62
"Aalbers__B.",56
"Abdi__S.",1
"Agrawal__S.",87
"Aguilar__S.J.",82
"Aguirre__C.",31
"Ahmadi__Z.",67
"Ak√.apinar__G.",19
"Akintunde__R.O.",14
"Alberto__R.",27
"Alex_Ambrose__G.",15
"Alexander",1
"Alexandron__G.",7
"Allen__L.K.",17
"Alonso__G.E.",2
"Alvarez__C.P.",6
"Ambrosino__F.",9
"Amon__M.J.",8
"Anagnostou__I.",57
"Andrade__A.",27
"Andres__J.M.A.L.",5
"Anggara__T.",15
"Aoshima__T.",76
"Arbanowski__S.",58
"Arcuria__P.",65
"Arora__P.",29
"Asano__Y.",79
"Avena__J.",22
"Azcona__D.",29
"Baars__M.",39
"Babik__D.",78
"Baek__C.",82
"Bailey__J.",11
"Baker__R.",4
"Baker__R.S.",5
"Bakharia__A.",1
"Bakker__A.",27
"Barbosa__G.",1
"Barnes__T.",14
"Beal__C.R.",43
"Benedetto__L.",45
"Berg__A.",7
"Bhat__S.",42
"Bibi__A.",48
"Biswas__G.",5
"Boer__D.",67
"Bogdanova__D.",18
"Bontempi__G.",38
"Bosch__N.",5
"Botelho__A.F.",16
"Bouchet__F.",46
"Bracco__G.",9
"Bradford__A.",52
"Bransen__L.",56
"Briggs__C.",55
"Brinkhuis__M.J.S.",28
"Brohinsky__J.",32
"Brooks__C.",4
"Brunskill__E.",83
"Brusman__L.",22
"Bryant__M.",1
"Budhathoki__K.",73
"Butail__S.",3
"Cabot__V.",47
"Caelen__O.",38
"Camelo__R.",1
"Cappelli__A.",45
"Carlsson__N.",51
"Carnell__S.",49
"Carvalho__P.",75
"Carvalho__P.F.",81
"Casanova__M.A.",33
"Casas__A.P.",2
"Cater__E.",71
"Catete__V.",14
"Cavalcanti__A.P.",1
"Cech√.k__J.",69
"Cechinel__C.",2
"Celis__S.",31
"Cemgil__A.T.",86
"Chaturvedi__S.",42
"Chavan__P.",89
"Chawla__N.V.",15
"Chen__B.",1
"Chen__G.",1
"Chen__M..R.A.",19
"Cheng__Y.",7
"Choi__H.",4
"Chounta__I..A.",81
"Chua__Y.H.V.",80
"Chun.Wei_Lin__J.",72
"Colavincenzo__A.",9
"Cotos__E.",59
"Cremonesi__P.",45
"Cui__Y.",74
"Cukurova__M.",44
"D.Mello__S.K.",8
"D√.az__P.",2
"Dauwels__J.",80
"Dauxais__Y.",92
"Davis__J.",94
"Dawson__S.",1
"De_Croon__R.",2
"De_Laet__T.",2
"De_Quincey__E.",55
"De_Rosa__M.",9
"De_Stefani__J.",38
"De_Weerdt__J.",18
"Dede__C.",84
"Deeva__G.",18
"Depaepe__F.",41
"Desmet__P.",41
"Despujol__I.",7
"Diego__A.",1
"Dijkstra__R.",5
"Dillenbourg__P.",2
"Dimitriadis__Y.",52
"Ding__M.",3
"Diniz__J.R.B.",1
"Doberstein__D.",61
"Donald__C.",53
"Doroudi__S.",83
"Dos_Santos__H.L.",2
"Dougall__A.L.",1
"Dourado__R.A.",2
"Dowell__N.",4
"Drachsler__H.",34
"Duan__X.",15
"Duckworth__A.L.",8
"Duff__A.",1
"Duivesteijn__W.",35
"Duran__N.D.",8
"Eagan__B.",32
"Effenberger__T.",69
"Elbadrawy__A.",77
"Elizabeth_Richey__J.",54
"Erfani__S.",11
"Erickson__J.A.",16
"Facciotti__M.T.",12
"Fadljevic__L.",30
"Falc√.o__T.P.",1
"Farrow__E.",1
"Faucon__L.",2
"Faulkner__M.",1
"Ferguson__R.",4
"Ferreira__M.",1
"Feskens__R.",28
"Fiacco__J.",59
"Fiallos__A.",2
"Fikes__T.G.",65
"Fincham__E.",1
"Flanagan__B.",19
"Fournier.Viger__P.",72
"Freitas__F.",1
"Fudge__A.",1
"Fuglik__V.",36
"Funel__A.",9
"Ga≈.eviƒ.__D.",1
"Ga≈.evic__D.",1
"Gal__K.",12
"Gal__T.",88
"Gardener__M.",8
"Gardner__J.",4
"Gasevic__D.",1
"Gasteiger.Klicpera__B.",30
"Gautrais__C.",92
"Geller__S.A.",12
"George__C.P.",43
"Giacaman__N.",53
"Giammattei__D.",9
"Giannakos__M.",2
"Giannakos__M.N.",2
"Gillois__P.",46
"Godfrey__A.",4
"Gray__P.",90
"Gromov__A.",6
"Guarnieri__G.",9
"Guidotti__R.",26
"Gunkel__M.",13
"Gyamfi__G.",1
"Gyawali__B.",10
"Hadgraft__R.",6
"Hadzikadic__M.",24
"Halawa__S.",7
"Hanna__B.E.",1
"Hansen__L.K.",70
"Harpstead__E.",54
"Harrak__F.",46
"Hassinen__M.",91
"Hatala__M.",1
"Hattab__D.",38
"Hauff__C.",64
