"Author","CommR"
"≈.ih√.k__J",89
"Abhinav__K",35
"Adjei__S",1
"Agarwal__D",3
"Agrawal__R",51
"Agrawal__S.",85
"Aguerrebere__C",52
"Akram__B",6
"Albacete__P",36
"Albrecht__E.",96
"Allessio__D",1
"Almeda__Ma.V",1
"ALSaad__F",34
"Alstrup__S",16
"Alstrup__S.",16
"An__T..S",62
"Anderson__C.J",23
"Andres__J.M.L",1
"Andrews.Todd__J",50
"Ang__A",4
"Arora__A",1
"Arroyo__I",1
"Askinadze__A",93
"Aung__A.M",72
"Azevedo__R",6
"Babbitt__T.",41
"Babel__N",3
"Backenk√.hler__M",49
"Baker__R",1
"Baker__R.S",1
"Baker__R.S.",3
"Bakhtiari__D",2
"Balyan__R",3
"Bao__Y",59
"Baraniuk__R.",11
"Baraniuk__R.G.",5
"Barnes__T",3
"Barnes__T.",3
"Barr__A",2
"Basu__S.",4
"Bauer__A",75
"Beauchamp__M.H.",47
"Beck__J.E",1
"Berman__S.R",37
"Bernacki__M.L.",83
"Bhat__P",35
"Bhat__S",23
"Bhat__S.",77
"Bienkowski__M",4
"Bihani__A",21
"Biswas__G.",17
"Bixler__R",9
"Blink__M.J",4
"Bosch__N",23
"Bosch__N.",9
"Botelho__A",1
"Botelho__A.F",1
"Boubekki__A",65
"Bouchet__F",71
"Boughoula__A",34
"Boyer__K.E",6
"Bradfield__F",3
"Brefeld__U.",65
"Brinton__C",5
"Brinton__C.G",5
"Brooks__C",7
"Brooks__C.",91
"Brunskill__E.",94
"Brusilovsky__P.",79
"Burleson__W.",1
"Busey__T",48
"Butler__C.J",14
"Cai__Z",2
"Cao__D",5
"Cao__D.",5
"Cao__M",2
"Carmichael__T",4
"Carter__K.E",17
"Carvalho__P.F",4
"Cassell__J.",44
"Chae__H.S",10
"Chaisangmongkon__W",68
"Chaturvedi__S",77
"Chaudhry__R",39
"Chen__B",54
"Chen__G",59
"Chen__S",2
"Chen__W",5
"Chen__Z",18
"Cheng__Q",2
"Chi__C..L.",27
"Chi__M",1
"Chi__M.",3
"Chiang__M.",5
"Chin__S..C",27
"Choi__H",7
"Chopra__S",25
"Chounta__I..A",36
"Cobo__C",52
"Cody__C",3
"Collins.Thompson__K",7
"Collins.Thompson__K.",70
"Conati__C",6
"Conrad__S.",93
"Contractor__D",14
"Cook__C",2
"Cook__J",3
"Cooper__K",57
"Corbett__A",4
"Cosyn__E.",29
"Crossley__S",3
"Crossley__S.",1
"Cui__Y.",74
"Cutumisu__M",74
"D‚..Mello__S.K",9
"D‚..Mello__S.K.",2
"Dascalu__M",3
"Davachi__L",13
"Davis__R.N",2
"Desmarais__M.C.",92
"Dey__P",8
"Dhamecha__T.I",46
"Diana__N",4
"Dickler__R.",67
"Ding__J",20
"Doble__C",29
"Dogga__P",39
"Domingue__B",21
"Dong__Y",17
"Donnelly__P.J",2
"Doroudi__S",94
"Doshi__S.D.",22
"Douglas__K.A.",26
"Dowell__N.M",2
"Drury__B.C",20
"Du__X",42
"Dubey__A",35
"Dufresne__A",47
"Duivesteijn__W",42
"Durand__G",61
"Dwivedi__U",8
"Eagan__B",2
"Eagle__M",4
"Ekambaram__V",8
"Emery__M.A",22
"Erickson__E",1
"Essa__A",2
"Esteban__A",12
"Faltings__B.",78
"Fancsali__S.E",37
"Fang__Y",2
"Feng__S",2
"Feng__Y.",5
"Fitch__D.",7
"Flatten__J",75
"Forsyth__C",50
"Fredericks__C",4
"Frijters__J",2
"Frishkoff__G",70
"Fu__C",66
"Ga≈.eviƒ.__D",1
"Gal__K",32
"Ganapathi__V.",76
"Gao__M",4
"Gao__X",20
"Gardner__J",91
"Garg__A",21
"Garrido__G.",18
"Gasser__C",13
"Gatewood__J",2
"Gautam__D",2
"Gautreau__H",25
"Geigle__C",34
"Ghavidel__H.A",33
"Gibaja__E",12
"Gitinabard__N",3
"Gitinabard__N.",3
"Gobert__J",67
"Golab__L.",25
"Goldwasser__D",26
"Gonz√.lez__P",12
"Goutte__C",61
"Graesser__A",2
"Graesser__A.",2
"Graesser__A.C",2
"Graesser__A.C.",2
"Granziol__U",29
"Grawemeyer__B",19
"Greenberg__D",2
"Grimaldi__P",11
"Grimaldi__P.J",5
"Gross__M.",30
"Grosz__B",32
"Grover__S",4
"Gu__X",5
"Guo__J",63
"Guo__Q",74
"Gupta__U",14
"Gureckis__T.M.",13
"Gutierrez.Santos__S",19
"Halpern__D",13
"Han__N..R",31
"Han__S..Y",58
"Han__W",24
"Han__Y",53
"Hansen__C",16
"Hardee__T.",38
"Hardey__J",9
"Harrak__F",71
"Hartman__K",45
"Hashimoto__M.",28
"Hauff__C.",59
"Hayashi__Y",87
"Heckman__S",3
"Heckman__S.",3
"Heffernan__C",1
"Heffernan__N.",1
"Heffernan__N.T",1
"Heffernan__N.T.",1
"Hershkovitz__A",6
"Hicks__A.G",3
"Hicks__N.M",26
"Hill__B",31
"Hjuler__N",16
"Hoernle__N",32
"Holmes__W",19
"Hong__W",83
"Hosman__E",2
