"Author","CommR"
"√.berg__G.",18
"Abdiprano__A.",1
"Adjei__S.A.",49
"Admiraal__W.",4
"Aghababyan__A.",3
"Agnihotri__L.",3
"Aguerrebere__C.",2
"Aitken__A.",2
"Alabi__H.",65
"Albert__D.",26
"Aleven__V.",4
"Alhadad__S.S.J.",2
"Allard__T.",41
"Allen__L.",2
"Allen__L.K.",23
"Allsopp__B.B.",12
"Almeda__Ma.V.",3
"Alyuz__N.",17
"Anderson__T.",2
"Andrade__A.",82
"Andres__J.M.L.",1
"Arnold__K.E.",33
"Asensio.P√.rez__J.I.",5
"Aslan__S.",17
"Atapattu__T.",75
"Avila__C.",15
"Axisa__C.",1
"Azevedo__R.",9
"B√.rner__D.",7
"Baesens__B.",39
"Bagheri__M.",38
"Baker__R.",3
"Baker__R.S.",1
"Bakharia__A.",8
"Baldiris__S.",15
"Baltes__J.",30
"Bannert__M.",9
"Barreiros__C.",1
"Basu__S.",11
"Belacel__N.",32
"Belonogoff__M.",8
"Benkhelif__T.",36
"Bennett__C.",2
"Berg__A.",2
"Bergner__Y.",2
"Berland__M.",15
"Berman__S.R.",20
"Bienkowski__M.",11
"Bioglio__L.",66
"Birol__G.",18
"Blaine__E.",1
"Blanchard__N.",13
"Blanke__T.",35
"Bodily__R.",4
"Bohuslavek__M.",10
"Bore__N.",28
"Boroowa__A.",10
"Boroujeni__M.S.",14
"Bote.Lorenzo__M.L.",74
"Botelho__A.F.",49
"Bouadi__T.",41
"Bouchet__F.",16
"Bouslimani__Y.",32
"Bowe__M.",3
"Bowers__A.",3
"Bradbury__A.E.",9
"Brennan__A.",34
"Brooks__C.",1
"Broos__T.",4
"Brown__M.G.",37
"Bumbalough__M.",2
"Burns__S.",3
"Campbell__A.",18
"Castells__J.",5
"Charleer__S.",4
"Chauhan__P.",2
"Chen__B.",43
"Chen__G.",4
"Chen__L.",68
"Chen__W.",3
"Chen__Y.",60
"Cheong__C.W.L.",6
"Chiluiza__K.",1
"Chiu__M.M.",45
"Cho__Y..S.",2
"Choi__H.",1
"Chow__B.W..Y.",45
"Chu__S.K.W.",6
"Cicchinelli__A.",1
"Cl√.rot__F.",36
"Clow__D.",2
"Cobo__C.",2
"Collins.Thompson__K.",1
"Colvin__C.",1
"Conati__C.",1
"Cooper__A.",2
"Cooper__K.",8
"Corrin__L.",8
"Corwin__K.",3
"Cote__M.",35
"Cross__S.",2
"Crossley__S.",11
"Crossley__S.A.",1
"Cui__Y.",31
"Cukurova__M.",5
"D.Mello__S.K.",13
"D‚..Mello__S.K.",29
"Davis__D.",4
"Davis__S.K.",44
"Dawson__S.",1
"De_Barba__P.G.",8
"De_Kraker__J.",7
"De_Laet__T.",4
"De_Mendonca__P.F.",1
"De_Salve__A.",47
"De_Weerdt__J.",39
"Demonbrun__R.M.",37
"Denaro__K.",27
"Depaepe__F.",57
"Di_Mitri__D.",7
"Diana__N.",11
"Diefes.Dux__H.",54
"Dietze__S.",7
"Dillenbourg__P.",14
"Dimitriadis__Y.",5
"Ding__W.",6
"Diriye__A.",28
"Dollinger__M.",2
"Dom√.nguez__F.",5
"Donnelly__P.J.",13
"Dorey.Elias__T.",2
"Dos_Santos__A.D.P.",1
"Dowell__N.",1
"Drachsler__H.",7
"Dubrawski__A.",68
"Duckworth__A.L.",29
"Dugu√.p√.roux__J.",41
"Durand__G.",32
"Eagan__B.",12
"Eagle__M.",11
"Echeverria__V.",1
"Economides__A.A.",40
"Edwards__R.L.",44
"Elen__J.",57
"Elouazizi__N.",18
"Esme__A.A.",17
"Essa__A.",3
"Ez.Zaouia__M.",72
"Fabregat__R.",15
"Falcones__G.",5
"Falkner__K.",75
"Fan__Y.",43
"Fancsali__S.E.",20
"Feild__J.",3
"Ferguson__R.",5
"Fessant__F.",36
"Fessl__A.",1
"Fields__B.",48
"Fiorini__S.",2
"Flanagan__B.",3
"Fleming__M.",8
"Fogel__J.",25
"Fornacciari__P.",19
"Fortenbacher__A.",7
"Fougt__S.S.",12
"Fridman__I.",13
"Fu__X.",3
"Furukawa__M.",46
"G√≥mez.S√.nchez__E.",74
"Ga≈.eviƒ.__D.",1
"Gadiraju__U.",7
"Galyardt__A.",20
"Gao__J.",1
"Gardener__M.",29
"Gardner__J.",1
"Gasevic__D.",1
"Gebhardt__K.",3
"Gemmell__J.",30
"Genc__U.",17
"Giannakos__M.",14
"Giannakos__M.N.",40
"Giannotti__F.",55
"Gibson__A.",2
"Giesbers__B.",4
"Gillois__P.",16
"Ginn__J.",4
"Gomez__M.",2
"Gonda__D.",6
"Gong__W.",56
"Goutte__C.",32
"Graf__S.",15
"Granda__R.",1
"Gray__G.",2
"Greenway__G.",35
"Greer__J.",2
"Griffiths__D.",3
"Grom__G.",25
"Groth__D.",2
"Grover__S.",11
"Gu__X.",56
"Guam√.n__B.",5
"Guidi__B.",19
