"Author","CommR"
"X.v.C.ech...a.k__Jaroslav",53
"Abbeel__Pieter",4
"Abdulmajeed__Kabir",2
"Abu.El.Haija__Sami",9
"AbuHashem__Abdallah_A.",5
"Adjei__Seth",1
"Adl__Kiarash",14
"Agrawal__Rakesh",41
"Ahmed__Saif",34
"Ahn__June",73
"Akhalwaya__Ismail_Yunus",55
"Akiri__Charankumar",2
"Akkaraju__Harshitha",61
"Alamgir__Morteza",102
"Aleven__Vincent",3
"Alexander__Larry",40
"Alexandron__Giora",1
"Amado.Salvatierra__Hector_R.",148
"Ammann__Paul",21
"Anastopoulou__Stamatina",134
"Anbajagane__Dhayaa",88
"Andel__Stephanie",30
"Andersen__Erik",5
"Andres__Juan_Miguel",3
"Ang__Andrew",1
"Angrave__Lawrence",45
"Angus__Geoffrey",5
"Antonova__Rika",5
"Apoorv__Raghav",6
"Appiah.Kubi__Kwamena",131
"Arian__Morelle",117
"Aristeidou__Maria",12
"Armendariz__Daniel",10
"Arriaga__Rosa",6
"Arslan__Serhat",9
"Asano__Yuya",1
"Asensio.P...e.rez__Juan_I.",62
"Ashby__Wade",2
"Ashok__B.",11
"Aslami__Ahmad",30
"Asuncion__Arthur",42
"Atapattu__Thushari",81
"Azad__Sushmita",38
"Bachelet__R...e.mi",75
"Bae__Chan",27
"Baek__Jineon",27
"Baek__Jiye",146
"Baikadi__Alok",20
"Bajwa__Ayesha",14
"Baker__Ryan",3
"Bakharia__Aneesha",169
"Bala__Srinath",11
"Ball__Michael",115
"Ballweber__Christy",26
"Banerjee__Siddhartha",39
"Baraniuk__Richard_G.",25
"Basu__Soumya",4
"Basu__Sumit",72
"Bauer__Matthias",2
"Beattie__Rachel",28
"Beck__Joseph_E.",1
"Becker__Lee",20
"Beckley__Chris",34
"Bederson__Benjamin_B.",33
"Befferman__Tyler",104
"Bell__Ana",14
"Benfield__Steve",30
"Bent__Oliver",46
"Benton__David",6
"Beresford__Alastair_R.",29
"Berman__Susan_R.",1
"Bermudez__Manuel",37
"Bernstein__Michael_S.",8
"Bhat__Suma",45
"Bhatt__Shreyansh",51
"Bhavya",15
"Bienkowski__Marie",56
"Bier__Norman_L.",7
"Biggers__Kietha",54
"Bilgrien__Noah",6
"Bishop__Judith",44
"Biswas__Gautam",17
"Biswas__Sagar",14
"Blikstein__Paulo",74
"Blink__Mary_Jean",1
"Blockelet__Michel",32
"Boesch__Chris",48
"Bogle__Leonard",87
"Bonfert.Taylor__Petra",32
"Borneman__Elizabeth",1
"Borrella__Inma",111
"Bosch__Nigel",45
"Bote.Lorenzo__Miguel_L.",62
"Botelho__Anthony",1
"Botelho__Anthony_F.",1
"Bouchet__Fran.c.c.ois",75
"Boughoula__Assma",15
"Boulanger__David",18
"Bozkurt__Baris",9
"Brady__Katherine",17
"Brady__Katherine_A.",17
"Brasiel__Sarah",47
"Braude__Eric",49
"Breazeal__Cynthia",59
"Breitzman__Anthony",50
"Brennan__Karen",82
"Breslow__Lori",149
"Bretl__Timothy",38
"Brooks__Christopher",3
"Brooks__D._Christopher",36
"Brooks__Michael",72
"Brouns__Francis",109
"Brown__Keith",36
"Brubacher__Federico",110
"Bruckman__Amy",2
"Bruechner__Dominik",2
"Brunskill__Emma",5
"Brusilovsky__Peter",2
"Bu__Jessica",138
"Budden__Jill",20
"Buffardi__Kevin",127
"Bumbacher__Engin",74
"Burd__Hannah",14
"Burghardt__M.D.",104
"Burstein__Jill",54
"Byrne__Virginia_L.",161
"Byun__Jeongmin",35
"Caballero.Caballero__Sergio",111
"Cai__Zhiqiang",23
"Camacho__Ida",2
"Cambre__Julia",8
"Campos__Fabio",73
"Canfield__Christopher_D.",49
"Canny__John",10
"Carlier__Sebastien",32
"Carlon__May",2
"Carlon__May_Kristine_Jonson",98
"Carlson__Ryan",7
"Carmon__Colin_M.",23
"Carroll__John_M.",58
"Cassell__Justine",139
"Cassidy__Caitlin",1
"Catrambone__Richard",153
"Cerezo__Rebeca",37
"Cha__Yeongmin",27
"Chai__Yuqian",68
"Champaign__John",1
"Chaplot__Devendra_Singh",92
"Charlevoix__Donna",147
"Chau__Hung",10
"Chaudhury__Rimika",124
"Cheatle__Amy",13
"Chen__Antares",4
"Chen__Binglin",38
"Chen__Bingxin",3
"Chen__Charles_H.",1
"Chen__Guanliang",1
"Chen__Lei",77
"Chen__Maximillian",3
"Chen__Meng_Chang",116
"Chen__Naichun",106
"Chen__Pin.Ju",133
"Chen__Sally",1
"Chen__Yang.Hsueh",133
"Chen__Youjie",3
"Chen__Yvonne",26
"Chen__Zhongzhou",1
"Cheng__Hao.Fei",16
"Cheng__Hao_Fei",16
"Cheung__Kevin",40
"Chhabra__Sukrit",67
"Chilana__Parmit_K.",124
"Cho__Junghyun",27
"Choi__Kabdo",1
"Choi__Youngduck",27
"Chorianopoulos__Konstantinos",100
"Chrisochoides__Nikos",100
"Chua__Soon_Hau",1
"Chuang__Isaac",1
"Chudzicki__Christopher",1
"Chujfi__Salim",2
"Clarkes.Nias__Jaye",46
"Cliff__Alison",4
"Close__Kevin",47
"Cobo__Crist...o.bal",82
"Cobos__Ruth",70
"Coe__Angela",12
"Coetzee__D.",4
"Coetzee__Derrick",4
"Cohen__Geoffrey_L.",3
"Coleman__Cody_A.",1
"Colvin__Kimberly_F.",1
"Conde_Gafaro__Barbara",141
"Cooper__Stephen",56
"Cope__William",15
"Corpe...n.o__Eduardo",2
"Corrigan.Gibbs__Henry",11
"Cortes.Mendez__Manoel",2
"Cosyn__Eric",91
"Coughlan__Tim",12
"Cox__John",22
"Cross__Andrew",11
"Cross__Jeffrey",2
"Cross__Jeffrey_S.",98
"Crues__R._Wes",45
"Cui__Yi",97
"Culler__David",145
"Cummins__Stephen",29
"Cutrell__Edward",11
"Czerwinski__Erin",3
"D.Angelo__Cynthia",28
"D.Antoni__Loris",1
"Dahiya__Akshay",6
"Dang__Steven",7
"Dasgupta__Anirban",9
"Dasgupta__Sayamindu",152
"Daskalakis__Constantinos",60
"Datha__Naren",11
"Daume__Hal",33
"Davies__Ian",29
"Davis__Dan",1
"Davis__Daniel",10
"Davis__Glenn",5
"Davis__Glenn_M.",5
"Davis__Katie",162
"Day__Scott",87
"de_Haan__Jac",42
"de_Halleux__Jonathan",44
"de_la_Torre__Jimmy",1
"de_Vreede__Gert.Jan",30
"de_Vreede__Triparna",30
"Debelius__Justine",8
"DeBoer__Jennifer",149
"Dede__Christopher_J.",156
"Delgado_Kloos__Carlos",1
"DeNero__John",4
"Denos__Nathalie",66
"Derr__Tyler",63
"Desai__Purvi",8
"Deutsch__Amit",22
"DiCerbo__Kristen_E.",80
"Dickler__Rachel",112
"Dillahunt__Tawanna",3
