"Author","CommR"
"≈.evarac__Z.",15
"Absar__R.",28
"Addison__K.L.",6
"Adjei__S.",2
"Adjei__S.A.",2
"Agnihotri__L.",30
"Aguiar__E.",6
"Aguilar__S.J.",7
"Alavi__H.S.",4
"Aljohani__N.R.",1
"Allen__G.",37
"Allen__L.",2
"Allen__L.K.",2
"Ambrose__G.A.",6
"Amsaleg__L.",12
"Andrade.Pacheco__R.",33
"Arnold__K.E.",73
"Asbell.Clarke__J.",11
"Asif__R.",4
"Auer__S.",52
"Avramides__K.",5
"Awasthi__P.",40
"Bailey__J.",1
"Bailly__A.",12
"Baker__R.",2
"Baker__R.S.",2
"Bakharia__A.",1
"Banks__J.",1
"Barmaki__R.",75
"Barnes__T.",11
"Bass__R.",1
"Beck__J.",2
"Beck__J.B.",2
"Beheshitha__S.S.",1
"Bektik__D.",2
"Bell__E.R.",38
"Berg__A.",3
"Bergner__Y.",2
"Bhanpuri__N.",6
"Bienkowski__M.",20
"Bier__N.L.",21
"Billard__L.",13
"Blikstein__P.",4
"Bondu__A.",51
"Booth__S.",18
"Boroowa__A.",9
"Boroujeni__M.S.",4
"Bos__N.",67
"Boscolo__C.",14
"Botelho__A.F.",2
"Bouhineau__D.",29
"Boull√.__M.",51
"Bowers__A.J.",32
"Boyer__A.",3
"Boyer__K.E.",18
"Brooks__C.",16
"Brooks__C.A.",16
"Brown__M.G.",7
"Bruza__P.",1
"Bryan__A.",9
"Bull__S.",14
"Calvo__R.A.",1
"Campen__C.K..V.",57
"Cattuto__C.",22
"Chapel__L.",12
"Chapman__J.",37
"Chapman__S.",23
"Charleer__S.",1
"Chatti__M.A.",41
"Chavez__O.",16
"Chawla__N.V.",6
"Chen__B.",2
"Chen__G.",1
"Chen__W.",3
"Chen__X.",2
"Chen__Y.",44
"Cheng__B.H.",2
"Chetlur__M.",6
"Ching__C.C.",50
"Chiu__M.M.",57
"Chounta__I..A.",58
"Chu__S.",8
"Chu__S.K.W.",8
"Clayphan__A.",1
"Clow__D.",3
"Coffrin__C.",1
"Colvin__C.",1
"Colvin__K.",2
"Cooper__A.",3
"Cooper__M.",3
"Cornu√.jols__A.",51
"Corrin__L.",1
"Cross__S.",9
"Crossley__S.",2
"Cuadros__J.",62
"Cubill√.__J.",45
"Cui__Y.",2
"Cukurova__M.",5
"D.Aquin__M.",3
"D.mello__S.",2
"D.Mello__S.K.",6
"Damelin__D.",10
"Dascalu__M.",2
"David__Y.B.",55
"Davies__R.",37
"Dawson__S.",1
"Dawsony__S.",1
"De_Barba__P.",1
"De_Kereki__I.F.",1
"De_Liddo__A.",3
"Demonbrun__R.M.",7
"Dessus__P.",2
"Deved≈.iƒ.__V.",15
"Dey__P.",6
"Dietze__S.",3
"Dillenbourg__P.",4
"Dillon__J.",6
"Dimitrijeviƒ.__S.",15
"Divakaran__A.",20
"Do__C..T.",13
"Dodge__B.",49
"Dorsey__C.",10
"Douzal.Chouakria__A.",13
"Dowell__N.",1
"Drachsler__H.",3
"Dupont__M.",69
"Duriƒ.__D.",15
"Duval__E.",4
"Eagle__M.",11
"Eaglem__M.",11
"Ebner__M.",27
"Economides__A.A.",56
"Edwards__T.",11
"Elbadrawy__A.",60
"Ellis__R.A.",1
"Epp__C.D.",87
"Essa__A.",30
"Ezen.Can__A.",18
"Fanfarelli__J.R.",72
"Farrington.Flint__L.",9
"Fatt__S.J.",39
"Feng__G.",2
"Feng__M.",32
"Ferguson__R.",3
"Ferschke__O.",1
"Field__D.",3
"Finzer__W.",10
"Fishman__B.",7
"Frazee__J.P.",49
"Freeman__J.D.",84
"G√.hnert__T.",76
"Ga≈.ev√.c__D.",1
"Ga≈.ev√.cy__D.",1
"Ga≈.eviƒ.__D.",1
"Ga≈.evic__D.",1
"Gal__Y.",55
"Gallicchio__C.",26
"Gamrat__C.",78
"Gandhi__P.",36
"Gaussier__E.",13
"Gauvin__L.",22
"Gehlbach__H.",19
"Giannakos__M.N.",1
"Gibberd__A.J.",71
"Gibson__A.",1
"Gillet__D.",4
"Ginon__B.",14
"Goggins__S.",2
"Goldsmith__R.",1
"Goodrich__V.",6
"Govaerts__S.",4
"Govindarajan__S.K.P.",40
"Graesser__A.C.",1
"Grafsgaard__J.F.",18
"Gravier__G.",12
"Grawemeyer__B.",5
"Greer__J.",4
"Greller__W.",3
"Groot__P.",25
"Gross__E.",31
"Gross__M.",59
"Grover__S.",20
"Gruzd__A.",28
"Guyet__T.",12
"Gweon__G..H.",10
"H√.ctor__J.P..D.",3
"Hagood__D.",50
"Han__F.",1
"Hansen__J.D.",19
"Hardy__C.",12
