"Author","CommR"
"≈.ih√.k__J",92
"≈.ih√.k__J.",156
"Abdi__S",6
"Abhinav__K",64
"Acholonu__U",19
"Adjei__S",1
"Adjei__S.A",1
"Afzal__S",5
"Agarwal__D",1
"Aggarwal__V.",85
"Aghababyan__A",89
"Agnihotri__L",1
"Agrawal__R",102
"Agrawal__S.",177
"Aguerrebere__C",9
"Ai__F",4
"Akram__B",7
"al.Rifaie__M.M",75
"Albacete__P",57
"Albrecht__E.",205
"Aleven__V",3
"Aleven__V.",2
"Alexandron__G",14
"Alexandron__G.",143
"Alferez__S.V.",169
"Allen__L.K",1
"Allessio__D",1
"Almeda__M.",1
"Almeda__Ma.V",1
"ALSaad__F",56
"Alstrup__S",43
"Alstrup__S.",43
"Ambrose__G.A",5
"An__D",77
"An__T..S",94
"Andersen__E",22
"Anderson__C.J",5
"Anderson__H",1
"Andres.Bray__J.M.L",1
"Andres__J.M.L",7
"Andrews.Todd__J",73
"Ang__A",3
"Angert__T",12
"Arbanowski__S.",94
"Arnav__A.",27
"Arora__A",5
"Arroyo__I",1
"Arroyo__I.",1
"Arthurs__N",13
"Asano__Y",130
"Asbell.Clarke__J",1
"Ashenafi__M.M",134
"Askinadze__A",167
"Atapattu__T",104
"Aubert__O",119
"Aulck__L",68
"Aung__A.M",111
"Ausin__M.S",1
"Azevedo__R",7
"Azizsoltani__H",1
"B√.land__S",25
"Baba__Y",118
"Babbitt__T.",81
"Babel__N",1
"Bachelet__R",15
"Bachelet__R.",15
"Backenk√.hler__M",79
"Bahargam__S",123
"Baikadi__A",93
"Bailey__J",67
"Baker__R",1
"Baker__R.",32
"Baker__R.S",1
"Baker__R.S.",1
"Baker__R.S.J.d",117
"Baker__R.S.J.D",1
"Baker__R.S.J.D.",1
"Bakhtiari__D",2
"Balyan__R",1
"Banjade__R",2
"Bao__Y",6
"Bar.Ilan__O",8
"Baraniuk__R.",4
"Baraniuk__R.G.",4
"Barmaki__R",178
"Barmaki__R.",184
"Barnes__T",1
"Barnes__T.",1
"Barr__A",2
"Basu__S.",3
"Batchelder__W.H.",142
"Bauer__A",22
"Beauchamp__M.H.",63
"Bechger__T",48
"Beck__J.E",1
"Beck__J.E.",1
"Ben.David__Y",8
"Bergner__Y",1
"Berland__M.",10
"Berman__S",2
"Berman__S.R",2
"Bernacki__M.L",131
"Bernacki__M.L.",168
"Beuster__L",39
"Bhanot__R.",1
"Bhartiya__D",5
"Bhat__P",64
"Bhat__S",5
"Bhat__S.",140
"Bhatnagar__S",35
"Bidelman__G.M.",2
"Bienkowski__M",3
"Bihani__A",6
"Biswas__A",21
"Biswas__G.",1
"Biswas__S",5
"Bittencourt__I.I",42
"Bixler__R",5
"Blanchard__N",5
"Blikstein__P.",90
"Blink__M.J",3
"Blumenstock__J",68
"Boodhwani__A",1
"Borge__M",45
"Boroujeni__M.S",59
