"Author","CommR"
"Aaron_Mitchell",3
"Adam_Plumbley",14
"Adetunji_Adeniran",91
"Aditya_Kanade",71
"Aditya_Vempaty",15
"Adva_Livni",10
"Agneta_Gulz",20
"Akos_Ledezci",1
"Alan_F._Smeaton",54
"Alan_Pedro_da_Silva",23
"Alan_Schoenfeld",18
"Albert_Corbett",3
"Alejex_Shabas",62
"Alessandro_Faraotti",12
"Alice_Barana",31
"Alice_Hansen",7
"Alik_Palatnic",10
"Alina_von_Davier",9
"Allen_Guo",17
"Allison_L._Moore",1
"Amali_Weerasinghe",13
"Amar_Lalwani",77
"Amey_Karkare",45
"Amruth_N._Kumar",96
"Amy_M._Johnson",2
"Amy_Ogan",5
"Andrea_Belli",12
"Andreea_Godea",33
"AndreÌ._Vinicius",23
"Andrew_Ang",9
"Andrew_J._Hampton",4
"Andrew_Jones",76
"Andrew_Lan",34
"Andrew_Olney",60
"Andrew_Pomazanskyi",19
"Andy_Smith",1
"Ange_Tato",44
"Angela_Stewart",11
"Angela_Wagner",3
"Anna_N._Rafferty",10
"Anne_Pfeifer",78
"Anne_Pier_Salverda",6
"Annika_Silvervarg",20
"Anouschka_van_Leeuwen",7
"Anthony_F._Botelho",1
"Antonette_Shibani",25
"Antonija_Mitrovic",13
"Anupam_Makhija",28
"Arthur_Graesser",4
"Arthur_M._Glenberg",5
"Ashish_Jagmohan",15
"Ashok_Goel",30
"Asli_Arslan_Esme",1
"Atsushi_Yamada",16
"Audrey_Wong",5
"Avery_Harrison",8
"Avi_Segal",10
"Barbara_Di_Eugenio",53
"Bart_Rienties",68
"Baruch_Schwarz",10
"Bastiaan_Heeren",79
"Beate_Grawemeyer",7
"Beatriz_Barros",58
"Behrooz_Mostafavi",2
"Ben_Mason",14
"Benjamin_MacLaren",3
"Benjamin_Nye",4
"Bertrand_Schneider",67
"Beverly_Woolf",8
"Bhargavi_Paranjape",74
"Bhavna_Agrawal",15
"Bikram_Sengupta",6
"Birgit_Lugrin",78
"BjoÌ.rn_SjoÌ.deÌ.n",20
"Blair_Lehman",4
"Boyd_A._Potts",61
