"Author","CommR"
"Aaron_Mitchell",1
"Adriana_de_Carvalho",1
"Agneta_Gulz",28
"Akailah_Jenkins",6
"Akihiro_Kashihara",63
"Alan_Carlin",34
"Albert_Corbett",1
"Alberto_Giovanni_Busetto",19
"Alessandro_Marani",36
"Alexandra_Cristea",20
"Alfredo_Sandes",25
"Alin_Nicolae_Zanciu",23
"Alyssa_Alcorn",39
"Amali_Weerasinghe",6
"Amber_Strain",4
"Amir_Shareghi_Najar",6
"Amit_Deutsch",25
"Amy_Ogan",26
"Ana_Alycia_Quintana",47
"Ana_Paiva",7
"AndreÌ._Mayers",41
"Andrew_Clayphan",29
"Angela_Wagner",1
"Annalies_Vuong",2
"Annika_Silvervarg",28
"Anton_Axelsson",28
"Antonija_Mitrovic",6
"Antonio_Ascolese",13
"Ari_Bader_Natal",53
"Arnon_Hershkovitz",1
"Arthur_Graesser",4
"Arvid_Kappas",7
"Ashudeep_Singh",14
"AureÌ.lie_Nardy",21
"Baptiste_CableÌ.",16
"Barbara_Di_Eugenio",5
"Barbara_Hammer",33
"Barbara_Solenthaler",19
"Barbara_Wasson",7
"Bassam_Mokbel",33
"Beenish_Chaudry",5
"Benedict_du_Boulay",6
"Benjamin_MacLaren",1
"Benjamin_Nye",71
"Bert_Bredeweg",27
"Beverly_Woolf",3
"Biman_Gujral",14
"Blair_Lehman",4
"Bradford_Mott",5
"Brendon_Towle",2
"Breya_Walker",4
"Bruce_J._MacLennan",32
"Bruce_M._McLaren",24
"Caitlin_Mills",4
"Callie_Vaughn",26
"Carla_Limongelli",36
"Carol_Forsyth",4
"Carolyn_RoseÌ.",14
"Carrie_Demmans_Epp",35
"Catherine_Lussenhop",10
"Cecil_Lozano",3
"Cecilie_Hansen",7
"Cecily_Heiner",67
"Christian_Jones",22
"Christina_Summerside",8
"Christine_Wilson",9
"Christopher_M._Mitchell",5
"Clara_Cahill",10
"Claude_Moulin",49
"Courtney_Dean",34
"Cristi_L._Ogle",32
"Cristina_Conati",6
"Cristina_Heffernan",1
"Dan_Noren",10
"Dana_Al_Qudah",20
"Dana_Cataldo",8
"Daniel_Auerbach",10
"Daniel_M._Belenky",1
"Danielle_Dumond",34
"Danielle_McNamara",15
"Daria_Bondareva",6
"David_Adamson",14
"David_Arnau",62
"David_Edgar_K._Lelei",68
"David_F._Cihak",32
"David_Williamson_Shaffer",4
"Davide_Fossati",5
"Deanne_Adams",24
"Deena_Soffer_Goldstein",1
"Dhavalkumar_Thakker",13
"Diane_Halpern",4
"Diane_Litman",9
"Dimoklis_Despotakis",13
"Dinesha_Weragama",55
"Divyanshu_Bhartiya",14
"Dominique_Lenne",49
"Domitile_Lourdeaux",42
"Douglas_B._Clark",66
"Dovan_Rai",3
"Edmon_Begoli",32
"Eduardo_GuzmaÌ.n",45
"Elaine_Farrow",12
"Eliane_Stampfer",2
"Elisabeth_AndreÌ.",27
"Elizabeth_Carter",59
"Elizabeth_McLaughlin",2
"Emily_Feitl_Blackstock",6
"Emily_Schneider",54
"Emmanuel_G._Blanchard",23
"Engin_Bumbacher",25
"Eric_Poitras",8
"Eric_Wiebe",5
"Erica_L._Snow",15
"Erik_Anderberg",28
"Erin_Walker",3
"Ermal_Toto",2
"Evelyn_Yarzebinski",26
"Fazel_Keshtkar",4
"Fernando_J._RodriÌ.guez",5
"Fernando_Nabais",7
"Filippo_Sciarrone",36
"Floris_Linnebank",27
"Foteini_Grivokostopoulou",58
"FrancÌ.ois_Bouchet",6
"G._G._Tanner_Jackson",15
"Gabi_Cierniak",7
"Gahgene_Gweon",38
"Gautam_Biswas",6
"GenevieÌ.ve_Gauthier",8
"Geoffrey_J._Gordon",2
"George_Gkotsis",20
"George_Goguadze",24
"Georges_Michel",42
"Gerhilde_Meissl_Egghart",7
"Giles_Westerfield",6
"Ginevra_Castellano",7
"Glenn_D._Blank",59
"Gordon_McCalla",17
"Graham_Erickson",17
"Gregory_R._Moore",1
"Gwendolyn_E._Campbell",12
"H._Chad_Lane",10
"Haiying_Li",4
"Haydar_Mahmoud",23
"Heather_K._Holden",50
"Helen_Hastie",7
"Helen_Pain",39
"Hitoshi_Terai",37
"Homa_B._Hashemi",57
"Huy_V._Nguyen",9
"I_Han_Hsiao",5
"Ilya_M._Goldin",1
"Imran_Zualkernan",3
"Ioannis_Hatzilygeroudis",58
"Isabela_Gasparini",23
"Ivan_Bratko",51
"Ivon_Arroyo",3
"Jack_Mostow",16
"Jaclyn_K._Maass",4
"Jaclyn_Ocumpaugh",1
"Jae_Gil_Lee",38
"James_Lester",5
"James_Pellegrino",1
"James_R._Segedy",6
"James_S._Molloy",23
"Janice_Gobert",2
"Jared_Freeman",34
"Jason_M._Harley",6
"Javier_Gonzalez_Sanchez",3
"Jay_Holland",6
"Jean_FrancÌ.ois_Lebeau",41
"Jeffrey_S._Skowronek",47
"Jeffrey_Wiseman",8
"Jennifer_K._Olsen",1
"Jennifer_Sabourin",5
"Jeremiah_T._Folsom_Kovarik",48
"Jesse_Thomason",9
"Jesus_G._Boticario",43
"Jihie_Kim",18
"Jim_Reye",55
"Jin_Wang",4
"JirÌŒiÌ._RÌŒihaÌ.k",31
"Jochem_Liem",27
"Jody_Clarke_Midura",2
"Johanna_Moore",12
"John_Champaign",17
"John_Connelly",2
"John_L._Nietfeld",65
"John_Stamper",2
"Jonathan_Rowe",5
"Joseph_Beck",3
"Joseph_F._Grafsgaard",5
"Joseph_Wiggins",5
"Judith_Good",39
"Judy_Kay",29
"Juelaila_Raziuddin",2
"Juliane_Kohn",19
"Julio_Guerra",46
"Julita_Vassileva",40
"Juraj_NizÌŒnan",31
"Justin_Djordjevic",35
"Justine_Cassell",26
"Kahina_Amokrane_Ferka",42
"Kalina_Yacef",29
"Karen_Myers",22
"Karen_Stepanyan",20
"Kasia_Muldner",3
"Kazuhisa_Miwa",37
"Keejun_Han",38
"Keith_Millis",4
"Keli_Cheng",4
"Kellie_Keifer",22
"Ken_ichi_Fukui",11
"Kenneth_Koedinger",2
"Kevin_Kee",8
"Kim_Kelly",1
"Koichi_Moriyama",11
"Kristy_Elizabeth_Boyer",5
"Kurt_VanLehn",3
"Kyle_McIntyre",22
"Lakshmi_S._Doddannara",1
"Laura_Hamel",48
"Laura_K._Varner",15
"Laura_Naismith",8
"Lei_Shi",20
"Leigh_Ann_Sudol_DeLyser",5
"Lewis_Johnson",53
"Lila_Lee",8
"Lin_Chen",5
"Linda_Kauffman",1
"Linwei_Zhu",18
"Lisa_M._Rossi",1
"Lishan_Zhang",3
"Luc_Paquette",41
"Lucia_Pannese",13
"Lucy_R._Shores",65
"Lydia_Lau",13
"Lynn_Stephens",3
"Ma._Mercedes_Rodrigo",56
"Maedeh_Kazemitabar",8
"Magnus_Haake",28
"Manuel_Hernando",45
"Maomi_Ueno",30
"Marcelo_Worsley",25
"Maria_Elena_Chavez_Echeagaray",3
"Maria_Roussou",70
"Maria_San_Pedro",1
"Marie_Lefevre",16
"Mark_Billinghurst",6
"Mark_Floryan",3
"Markus_Gross",19
"Martin_van_Velsen",1
"Martina_Rau",1
"Maryse_Bianco",21
"Masayuki_Numao",11
"Matej_Guid",51
"Matteo_Lombardi",36
"Matthew_D._Johnson",7
"Matthew_Labrum",1
"Matthew_Ventura",6
"Matthew_W._Easterday",52
"Mayya_Sharipova",17
"Megumi_Kurayama",60
"Melinda_Gervasio",22
"Michael_Brigham",2
"Michael_J._Ford",9
"Michael_Kickmeier_Rust",7
"Michael_Lipschultz",9
"Michael_Sao_Pedro",2
"Michael_von_Aster",19
"Michael_WiÃŸner",27
"Michael_Yudelson",2
"Michel_Desmarais",64
"Miguel_Arevalillo_HerraÌ.ez",62
"Mihai_Dascalu",21
"Minghui_Tai",3
"Mohammad_Alotaibi",7
"Mun_Y._Yi",38
"Myroslava_O._Dzikovska",12
"Nan_Li",2
"Nancy_L._Green",69
"Naoto_Akiyama",63
"Natalie_B._Steinhauser",12
"Natalie_D._Kerby",5
"Nathalie_Guin",16
"Nathalie_Japkowicz",61
"Neil_Heffernan",1
"Nesra_Yannier",2
"Nguyen_Thinh_Le",5
"Nick_Green",5
"Niels_Pinkwart",33
"Nigel_Bosch",4
"Nikol_Rummel",1
"Olga_C._Santos",43
"Oluwabunmi_Adewoyin",40
"Omar_AlZoubi",5
"Oriel_Uzan",44
"Pamela_Jordan",9
"Patricia_Albacete",9
"Paul_Salvador_Inventado",11
"Paulo_Blikstein",25
"Peter_Brusilovsky",46
"Petr_BorosÌŒ",31
"Philip_I._PavlikJr.",4
"Philippe_Dessus",21
"Pierre_Yves_Gicquel",49
"Pokpong_Songmuang",30
"Qinyu_Cheng",4
"R._Charles_Murray",2
"Radek_PelaÌ.nek",31
"Radhika_Kedia",14
"Rafael_Cabredo",11
"Rajiv_Maheswaran",18
"Reuth_Dekel",44
"Reva_Freedman",61
"Reza_Feyzi_Behnagh",6
"Rhouma_Naceur",64
"Ricardo_Conejo",45
"Richard_Mayer",24
"Robert_Bixler",4
"Robert_E._Wray",48
"Robert_G._M._Hausmann",2
"Robert_Sottilare",50
"Roberto_Legaspi",11
"Roberto_Martinez_Maldonado",29
"Rod_Roscoe",15
"Roger_Azevedo",6
"Rohit_Kumar",18
"Ronald_M._Baecker",35
"Roya_Hosseini",46
"Ruth_Aylett",7
"Ryan_Baker",1
"Ryan_Carlson",1
"Ryan_Schwiebert",2
"Ryuichi_Nakaike",37
"Samantha_Finkelstein",26
"Sandra_Katz",9
"Sarah_Dehne",12
"Satabdi_Basu",6
"Satoshi_Kurihara",11
"Scott_A._Crossley",15
"Scott_Bateman",17
"Scott_E._Hudson",2
"Scott_H._Fraundorf",2
"Scott_Silliman",9
"Sebastian_Gross",33
"SeÌ.bastien_LalleÌ.",16
"Seiji_Isotani",24
"Sergio_Salmeron_Majadas",43
"Shaikhah_Alotaibi",40
"Shitian_Shen",18
"Shoma_Okamoto",37
"Shoujing_Li",3
"SÌ.tefan_Trausan_Matu",21
"Sidney_Dâ..Mello",4
"Stephanie_Frost",17
"Stephen_B._Blessing",47
"Stephen_E._Fancsali",2
"Stephen_Tsourounis",35
"Steven_Gaudino",1
"Steven_Ritter",2
"Sujith_M._Gowda",1
"Susan_Bull",7
"Susan_Foutz",10
"Susan_Goldman",1
"Susanne_Lajoie",8
"Sylvie_Girard",3
"Takatoshi_Ishii",30
"Tanja_KaÌ.ser",19
"Tara_Tressel",8
"Taylor_Martin",1
"Thor_Collin_S._Andallaza",56
"Tiffany_Barnes",1
"Tom_Murray",3
"Travis_Dezendorf",1
"Tristan_Nixon",2
"Tsukasa_Hirashima",60
"Valerie_Shute",6
"Vanda_Luengo",16
"Vania_Dimitrova",13
"Victor_Girotto",3
"Vincent_Aleven",1
"Will_Byrne",7
"William_Swartout",10
"William_W._Cohen",2
"Winslow_Burleson",3
"Wolmet_Barendregt",7
"Wookhee_Min",5
"Xiangen_Hu",4
"Xiaolu_Xiong",3
"Xiaoxi_Xu",3
