"Author","CommR"
"Pardos__Z.",30
"Patel__R",1
"Patil__S",10
"Pavlik__P.I.__Jr.",75
"Pel√.nek__R",76
"Penteado__B.E.",86
"Penuel__W.R",8
"Pezzullo__L.G",5
"Pinkard__N.",8
"Pinkwart__N.",44
"Podkul__T",9
"Price__T.W",1
"Prieto__M.E.",25
"Pritchard__D.",51
"Quigley__D",8
"Quigley__D.",8
"Rafferty__A.N",49
"Ramanarayanan__V",59
"Ramesh__A",40
"Rangwala__H",57
"Rau__M.A",30
"Rau__M.A.",77
"Recker__M",11
"Rectanus__K.T.",67
"Ren__Z",57
"Revelle__M",18
"Riccardi__G.",41
"Riedesel__M",7
"Ritter__S",4
"Romero__C",25
"Ronchetti__M",41
"Ros√.__C.P",20
"Ros√.__C.P.",69
"Roschelle__J",9
"Roscoe__R.D",6
"Rose__C.",2
"Rowe__E",1
"Rus__V",4
"Sabourin__J",13
"Sahebi__S",22
"Sales__A",16
"Sales__A.C",37
"Samei__B",2
"Schunn__C.D",35
"Schwartz__D.L.",63
"Scupelli__P",3
"Seanosky__J",7
"Sengupta__B",2
"Shaffer__C.A.",19
"Shaffer__D.W",4
"Shah__R",1
"Sharma__A",10
"Sharma__K",21
"Shavlovsky__M.",64
"Shen__S",1
"Sherzad__A.R.",81
"Shimada__A",50
"Shrivastava__K",10
"Shute__V",3
"Singh__B.P",73
"Slater__S",3
"Slavuj__V.",56
"Snow__E.L",9
"Solenthaler__B",28
"Song__Z",15
"Srivastava__S",10
"Stamper__J",1
"Stamper__J.",6
"Stanhope__D.S",67
"Stapel__M",44
"Studer__C.",38
"Sultan__A",8
"Sumner__T",8
"Sun__M",66
"Sun__X",2
"Swiecki__Z",4
"Tan__Y",36
"Tarmazdi__H.",42
"Tian__J.",52
"Tissenbaum__M",7
"Tomar__G",20
"Tomkins__S",40
"Uesbeck__P.M.",47
"Ullman__J",33
"Vail__A.K",5
"van_de_Sande__B.",79
"Van_Horne__K",8
"Van_Inwegen__E.G",3
"Veeramachaneni__K.",18
"von_Davier__A.A",23
"Walker__A.",11
"Wang__C",14
"Wang__F",62
"Wang__S.",82
"Wang__X",2
"Wanigasekara__N",2
"Ward__B",2
"Wen__M",2
"White__S",2
"Whitmer__J",53
"Wiebe__E",5
"Wiebe__E.N",5
"Wiggins__J.B",5
"Wilks__A",37
"Williams__J.J",16
"Wilson__K.H",31
"Xia__Z",15
"Xie__J",17
"Xiong__X",3
"Xu__P",65
"Xue__L",1
"Yacef__K.",12
"Yadav__K",10
"Yang__S.",66
"Yang__Y",1
"Yasuda__K",46
"Ye__M.",14
"Yee.King__M",34
"Yoshikawa__M.",45
"Yuan__M.",11
"Yudelson__M.",4
"Yudelson__M.V.",85
"Zapata__A",25
"Zhang__Y",1
"Zhao__S",3
"Zhao__X",14
"Zheng__G",36
"Zheng__Z",44
"Zimmerman__N",7
