"Author","CommR"
"Abbeel__Pieter",20
"Aleven__Vincent",2
"Amado.Salvatierra__Hector_R.",59
"Ammann__Paul",5
"Andel__Stephanie",8
"Andersen__Erik",2
"Andres__Juan_Miguel",2
"Ang__Andrew",1
"Angrave__Lawrence",13
"Arian__Morelle",47
"Aslami__Ahmad",8
"Baker__Ryan",2
"Baraniuk__Richard_G.",10
"Beck__Joseph_E.",55
"Benfield__Steve",8
"Bhat__Suma",13
"Biggers__Kietha",11
"Blikstein__Paulo",30
"Blink__Mary_Jean",1
"Bosch__Nigel",13
"Botelho__Anthony",4
"Botelho__Anthony_F.",4
"Boughoula__Assma",44
"Brady__Katherine",31
"Brennan__Karen",28
"Brooks__Christopher",2
"Brunskill__Emma",2
"Bumbacher__Engin",30
"Burstein__Jill",11
"Byrne__Virginia_L.",65
"Camacho__Ida",63
"Carlier__Sebastien",21
"Cassidy__Caitlin",49
"Chai__Yuqian",22
"Chen__Antares",3
"Chen__Binglin",37
"Chen__Lei",23
"Chen__Naichun",40
"Chen__Youjie",54
"Chen__Zhongzhou",18
"Cheng__Hao_Fei",25
"Chuang__Isaac",1
"Cobo__Crist...o.bal",28
"Cohen__Geoffrey_L.",42
"Coughlan__Tim",27
"Crues__R._Wes",13
"Cui__Yi",34
"D.Antoni__Loris",3
"Dang__Steven",9
"Dasgupta__Sayamindu",60
"Davis__Dan",1
"Davis__Daniel",19
"Davis__Glenn_M.",42
"de_Vreede__Gert.Jan",8
"de_Vreede__Triparna",8
"Debelius__Justine",6
"Denos__Nathalie",16
"Dickler__Rachel",51
"Dillenbourg__Pierre",24
"Dobolyi__Kinga",5
"Dodson__Samuel",7
"Dommeti__Vijaya",62
"Doroudi__Shayan",2
"Dowell__Nia_M.M.",2
"Dreier__Kelsey",11
"Du__Andrew",6
"Effenberger__Tom...a..v.s.",15
"Eidelman__Hadas",1
"Facciotti__Marc",26
"Falkner__Katrina",39
"Falkner__Nickolas",39
"Farasat__Alireza",29
"Faucon__Louis",24
"Federicks__Colin",1
"Fels__Sidney",7
"Fernando__Shantha",12
"Fiacco__James",64
"Figueredo__Lucas",3
"Figueroa__Andrew",48
"Fisher__Douglas",31
"Fong__Matthew",7
"Fox__Armando",3
"Fratamico__Lauren",7
"Frens__John",33
"Ga.v.s.evi...c.__Dragan",2
"Gal__Lilach",17
"Gamage__Dilrukshi",12
"Gantayat__Neelamadhav",38
"Garaizar__Pablo",17
"Gardner__Josh",2
"Geigle__Chase",44
"Gillet__Denis",53
"Ginn__Jasper",45
"Glassman__Elena",3
"Gmiterko__Dominik",15
"Gobert__Janice",51
"Goel__Ashok",63
"Goel__Sharad",43
"Goldberg__Benjamin_S.",36
"Goldman__Max",49
"Gopalsamy__Rahul",29
"Grimaldi__Phillip_J.",10
"Guenaga__Mariluz",17
"Guo__Philip_J.",58
"Gupta__Monika",38
"Gutowski__Kevin",20
"H.r.a.klev__Stian",24
"Hadzilacos__Thanasis",24
"Halimi__Wissam",53
"Hammer__Jessica",9
"Hamonic__Ella",21
"Harandi__Negar_M.",7
"Hartmann__Bj...o.rn",3
"Hauff__Claudia",1
"Head__Andrew",3
"Heffernan__Neil",4
"Heffernan__Neil_T.",4
"Hellas__Arto",35
