"Author","CommR"
"Abdi__S",14
"Afzal__S",27
"Aggarwal__V.",62
"Aguerrebere__C",6
"Ai__F",4
"Aleven__V.",3
"Alexandron__G",43
"Alexandron__G.",58
"Alferez__S.V.",78
"Alstrup__S",46
"Alstrup__S.",59
"Ambrose__G.A",27
"An__D",40
"Anderson__H",5
"Andres.Bray__J.M.L",5
"Angert__T",9
"Arbanowski__S.",1
"Arnav__A.",12
"Arthurs__N",37
"Askinadze__A",66
"Aubert__O",61
"Aulck__L",25
"Ausin__M.S",1
"Azizsoltani__H",1
"B√.land__S",18
"Baba__Y",64
"Bachelet__R.",29
"Bahargam__S",60
"Bailey__J",24
"Baker__R.S",2
"Baker__R.S.",5
"Banjade__R",56
"Bar.Ilan__O",11
"Baraniuk__R.G.",4
"Barmaki__R.",80
"Barnes__T",1
"Barnes__T.",1
"Bechger__T",22
"Ben.David__Y",11
"Bhatnagar__S",39
"Bidelman__G.M.",44
"Bittencourt__I.I",21
"Blumenstock__J",25
"Boodhwani__A",5
"Botelho__A.F",2
"Bouchet__F",29
"Boulanger__D",69
"Boumi__S",74
"Bourda__Y",35
"Bouthillier__I.B",18
"Bouwers__E.",53
"Boyer__K.E",7
"Bradford__A",42
"Breitfeller__L",32
"Broekman__F",53
"Broisin__J",75
"Brooks__C.",2
"Bryant__T",9
"Bulger__M",6
"Burnett__V",5
"Buttery__P",10
"Buttery__P.",10
"Caines__A",10
"Cao__M",44
"Capello__S",8
"Capoor__B",19
"Cardoso.Leite__P",16
"Cardoso.Leite__P.",16
"Carvalho__P",3
"Chawla__N.V.",27
"Chen__G",14
"Chen__L",57
"Chen__Y",4
"Chen__Z.",67
"Chetlur__M",27
"Chi__M",1
"Chi__M.",1
"Chng__E",9
"Choffin__B",35
"Chopra__S",41
"Christie__S.T",36
"Circi__R",54
"Cobo__C",6
"Cohen__A",13
"Coleman__C",2
"Conrad__S.",66
"Cristea__A.",21
"D.Aquin__M.",82
"D.Mello__S.K.",8
"Dai__H",34
"Dale__M",8
"Dalton__E",70
"Dang__S",38
"Davis__A.K",49
"Davis__C",10
"Davis__G.M",48
"De_Barba__P",24
"Dede__C.",9
"Desmarais__M",1
"Desmarais__M.C",18
"Desmarais__M.C.",39
"Dickler__R",55
"Ding__X",79
"Doan__T..N",71
"Dong__M",20
"Dong__Y",1
"Donnelly__P.J",8
"Douglas__K.A.",72
"Dubrawski__A.",57
"Duckworth__A.L",8
"Dufresne__A.",45
"Dziuban__C.D.",83
"Eglington__L.",3
"Elizabeth_Owen__V",5
"Elliott__M",10
"Emerson__A",7
"Emond__B",68
"Ezra__O",13
"Fancsali__S",3
"Fang__W",3
"Farrar__S",20
"Ferreira__R",14
"Flemming__R",16
"Fu__G",4
"Furr__D.",49
"Ga≈.eviƒ.__D.",30
"Ga≈.evic__D.",51
"Gagnon__V",39
"Gal__K",13
"Gal__K.",11
"Gao__J",17
"Gao__J.",17
"Garc√.a__S",6
"Garcia__J.",50
"Gardner__J",2
"Gardner__M",8
"Gasevic__D.",14
"Gehringer__E",12
"Gerber__S",50
"Gilad.Bachrach__R",11
"Giles__C.L.",28
"Gitinabard__N",1
"Gjekmarkaj__E",57
"Gobert__J.",55
"Godley__A",8
"Golab__L.",41
"Gong__J.",65
"Grimaldi__P",4
"Gross__M.",33
"Gruver__N",19
"Guo__Y",4
"Guo__Z",80
"Guthrie__M.W",67
"H√.rouard__C.",75
"Han__Y",15
"Hansen__C",46
"Harmon__J",81
"Harpstead__E",31
"Harrak__F",29
"Hatala__M",51
"Heckman__S",1
"Heffernan__N",2
"Heffernan__N.",2
"Heffernan__N.T.",2
"Hershkovitz__A",13
"Hershkovitz__S",58
"Hicks__J",54
"Hjuler__N",59
"Hoernle__N",11
"Hofman__A.D",22
"Holstein__K",3
"Howlin__C.P",83
"Hu__Q",4
"Huang__K",9
"Huang__Y",3
"Hutt__S",8
"Hylak__B.",6
"Iandoli__M",6
"Ikeda__M.",88
"Isotani__S",21
"Jacobs__D",5
"Jacobsen__A",77
"Jarratt__D.C",36
"Jayaraman__J.D",50
"Jensen__E",8
"Jeon__B",32
"Ji__S",15
"Jiang__H",6
"Jiang__N",20
"Jiang__T.",15
"Jing__X",17
"Jo__J",2
"Ju__S",1
"K√.ser__T",76
"Kang__J",40
"Kaplan__G",6
"Karayev__S",37
"Karumbaiah__S",5
"Karypis__G.",26
"Kashima__H.",64
"Kelly__S",8
"Kennedy__G",24
"Keylor__E",5
"Khan__A",41
"Khayi__N.A",56
"Khoshnevisan__F",1
"Khosravi__H",14
"Khurana__G",12
"Kim__G",2
"Kim__Y..J",1
"Klingler__S",33
"Koedinger__K",3
"Koedinger__K.",38
"Koedinger__K.R.",31
"Kolb__J",20
"Konomi__S.",23
"Krauss__C",1
"Kumar__V.",69
"Labrie__A",39
"Lan__A.S",4
"Lan__A.S.",2
"Lang__D",14
"Lappas__T",60
"Larson__E.C.",79
"Lee__S.",7
"Leite__W.L",63
"Lester__J.",7
"Levin__J",32
"Levy__B",13
"Li__H",55
"Li__M.",54
"Li__Q",17
"Liang__C",28
"Lim__H.",2
"Linn__M.C.",42
"Lioma__C.",46
"Liu__M.",40
"Liu__S",6
"Loignon__G",18
"Lopez__A",30
"Lorenzen__S",59
"Loye__N.",18
"Lu__D",3
"Lu__X",2
"Lucas__C.G",30
"Luengo__V",29
"Luengo__V.",29
"Lukin__G",11
"Lynch__C.F",1
"Lynch__C.F.",1
"Lytle__N",1
"Ma__B.",84
"Ma__F",17
"MacLellan__C.J",31
"Malekian__D",24
"Malik__A",19
"Mandalapu__V",65
"Mao__Y",1
"Marcoulides__K.M.",63
"Maris__G",22
"Marwan__S",1
"Mbouzao__B",18
"McCurdy__K",30
"McLaren__B.M.",3
"Mello__C.E.",73
"Merceron__A",1
"Min__W",7
"Mirsafian__M",41
"Modiri__A",1
"Mohammed__F.A",47
"Moore__R",10
"Morsomme__R",78
"Morsy__S",26
"Mott__B",7
"Mouri__K",23
"Mussack__D",16
"Nambi__D",25
"Nanda__G",72
"Nawaz__S.",24
"Nazaretsky__T",58
"Nguyen__H",3
"Nikolakopoulos__A.N",26
"Ning__X",4
"Nkambou__R",45
"Nkambou__R.",1
"Ocumpaugh__J",5
"Ocumpaugh__J.L",5
"Ogata__H",23
"Oliv√.__D.M.",70
"Oliveira__M.S",73
"Oliveira__W",21
"Olson__L.A",36
"Osman__A.",47
"Ou__L",22
"Paepcke__A.",19
"Pandey__S",26
"Paquette__L",7
"Pardos__Z",42
"Pardos__Z.A.",20
"Pavlik__P.__Jr",3
"Pavlik__P.I.__Jr",44
"Piech__C",19
"Piech__C.",37
"Pigeau__A",61
"Polyzou__A",26
"Popineau__F",35
"Pramudianto__F",12
"Praseed",52
"Pri√.__Y.",61
"Price__T.W",1
"Pritchard__D.E.",43
"Pu__Y",15
"Pursel__B",28
"Raborn__A.W",63
"Rachatasumrit__N",31
"Radhakrishnan__B",12
"Radu__I",9
"Rafferty__A.",1
"Rafferty__A.N.",1
"Ram__P.",52
"Ramirez__L",9
"Rangwala__H.",4
"Reddick__R.",86
"Reilly__J.M",9
"Ren__Z",4
"Rho__Y.J",49
"Rice__A",10
"Rice__A.",10
"Rodr√.guez__F.J",7
"Ronen__M",11
"Ros√.__C.P.",32
"Rowe__J",7
"Roy__M..H",5
"Ruip√.rez.Valiente__J.A",43
"Rus__V.",56
"Sadiq__S",14
"Sahebi__S.",71
"Schaldenbrand__P",38
"Scheines__R",38
"Schinazi__V.R",33
