"Stem","commR_13_20","n"
"academic achiev",45,1
"academic analyt",94,1
"academic perform",99,1
"act of speech",66,1
"active learn",43,1
"activity monitors (fitbit)",119,1
"adapt",22,1
"adaptive e-learning system",20,1
"adaptive learn",70,1
"adaptive learn",185,1
"adaptive test",144,1
"adult educ",88,1
"adult learn",148,1
"advis",11,1
"affect",131,1
"affect",193,1
"affective comput",39,1
"agoni",129,1
"analysing interaction data",17,1
"analysis processes of learning trac",22,1
"analyt",88,1
"analyt",193,1
"analytic approach",13,4
"analyzing student behavior",99,1
"anomaly detect",60,1
"approx-imation algorithm",142,1
"assess",43,1
"assess",46,2
"assess",78,1
"assess",161,1
"assess",179,1
"assess",182,1
"assessment design",144,1
"audience response system",139,1
"authentic science inquiri",179,1
"autoencod",175,1
"automated assess",37,1
"automated detection of reflect",184,1
"automated formative feedback",163,1
"automated grad",42,1
"automatic essay evalu",109,1
"availability predict",112,1
"awar",54,1
"bag-of-word",31,1
"balance assess",72,1
"barriers to adopt",81,1
"bayesian deep learn",42,1
"bayesian knowledge trac",26,2
"behavior",145,1
"betweeness centr",159,1
"bidirectional lstm",109,1
"big-data min",88,1
"big data",18,1
"big data",81,1
"big data",102,1
"big data analysi",185,1
"bkt",135,1
"bkt-bf",135,1
"blended learn",11,1
"blended learn",17,1
"blended learn",22,1
"blended learn",25,1
"blended learn",63,1
"blended learn",170,1
"block",168,1
"blog",182,1
"book read",30,2
"booleanmatrix factor",142,1
"botsw",31,1
"business intellig",156,1
"calibr",130,1
"capit",22,1
"causal model",74,1
"central",159,1
"change detect",35,1
"children's read",30,2
"churn prediction in telco",25,1
"class attend",81,1
"classif",34,1
"classif",42,1
"clinical train",110,1
"cluster",20,1
"cluster",22,1
"cluster",28,2
"cluster",139,1
"cluster",153,1
"cluster analysi",170,1
"clustering analysi",50,1
"co-clust",82,1
"co-located learn",89,1
"coclust",128,1
"cognitive diagnostic model",58,1
"cognitive load",70,1
"cognitive pres",24,1
"coh-metrix",164,1
"collabor",46,2
"collabor",94,1
"collaborative learn",146,1
"collaborative model",28,2
"collaborative multi-regression model",99,1
"collaborative problem solv",124,1
"combat sport",103,1
"communic",193,1
"communications skills learn",83,1
"comparative educ",157,1
"compet",155,1
"competence develop",52,1
"competency based educ",58,1
"competency framework reli",58,1
"complex learn",131,1
"complex problem solv",70,1
"computer-based learn",87,1
"computer ag",124,1
"computing education research",174,1
"computing platform",22,1
"concept drift",75,1
"concept map",163,1
"conditional random field",109,1
"confirmatory factor analysi",117,1
"confusion detect",19,1
"confusion detect",80,1
"constraint",187,1
"context",22,1
"context estim",165,1
"controlled vocabulari",115,1
"cooperative/collaborative learn",17,1
"corporate train",98,1
"courbotre",101,1
"course sequenc",99,1
"course tim",99,1
"credenti",161,1
"credenti",187,1
"crowd-sourc",14,1
"ctas",154,1
"curriculum",114,1
"curriculum analysi",114,1
"curriculum analyt",64,1
"curriculum plan",99,1
"dashboard",119,1
"data analyt",56,1
"data analyt",98,1
"data captur",97,1
"data clean",60,1
"data collect",174,1
"data intensive research",92,1
"data life cycl",22,1
"data min",24,1
"data min",38,3
"data min",48,1
"data min",90,2
"data min",188,1
"data retent",81,1
"decision tre",87,1
"decision tre",101,1
"deep factor model",133,1
"deep knowledge trac",110,1
"deep learn",56,1
"deep learn",133,1
"degree dropout analysi",41,1
"degree plan",99,1
"degree similar",99,1
"density extrapol",75,1
"density forecast",75,1
"descriptive model",45,1
"design research",113,1
"developing countri",77,1
"diagnostic tool",58,1
"differenti",20,1
"differential privaci",82,1
"differential privaci",121,1
"difficulty index",135,1
"digital badg",161,1
"digital badg",167,1
"dimensional model",81,1
"disciplinary differ",104,1
"discours",164,1
"discourse analysi",89,1
"discriminative sequence analysi",99,1
"discuss",186,1
"distance based featur",152,1
"divers",20,1
"doctor-patient commun",83,1
"document",32,1
"domain adapt",80,1
"dropout predict",41,1
"dual cod",43,1
"dynamic factor model",69,1
"dynamic network",25,1
"dynamic text display",86,1
"e-learn",25,1
"e-learn",75,1
"e-learn",141,1
"educ",42,1
"educ",77,1
"educ",161,1
"educational cont",137,1
"educational data min",29,3
"educational data min",42,1
"educational data min",89,1
"educational data min",93,1
"educational data min",135,1
