"Stem","commR_15_16","n"
"longitudinal data",25,1
"machine learn",30,1
"machine learn",73,1
"malaria",33,1
"massive open online courses (moocs)",77,1
"mathemat",23,1
"measur",58,1
"metacognit",57,1
"metric learn",13,1
"microservic",35,1
"misconcept",21,1
"mobil",5,1
"modelling behavior",46,1
"mooc",19,2
"mooc",28,1
"mooc",35,1
"mooc",48,1
"mooc",74,1
"motiv",48,1
"motiv",49,1
"motiv",72,1
"mouse trajectori",47,1
"multi-objective evolutionary algorithm",25,1
"multimodal analyt",20,1
"multiplicative interact",83,1
"natural language process",84,1
"networked improvement commun",65,1
"noisy data",59,1
"non-negative tensor factor",22,1
"nonstationary environ",85,1
"notification system",79,1
"occurrence of hesit",47,1
"one-digit multipl",27,1
"online engag",65,1
"online learn",5,1
"open badg",78,1
"open digital badg",24,2
"open digital badg",81,1
"open learner model",14,2
"open learning analyt",41,1
"open sourc",36,1
"opencoursewar",52,1
"operators life cycl",29,1
"opportunities to learn",66,1
"pair program",20,1
"paral- lel comput",30,1
"parallel",45,1
"peer grad",74,1
"pen-based comput",23,1
"personalized learning analyt",41,1
"practice-based learn",5,1
"predict",21,1
"predicting student perform",5,1
"predicting student perform",60,1
"predictive analyt",6,2
"predictive analyt",30,1
"predictive analyt",82,1
"predictive model",73,1
"primary educ",57,1
"prior knowledg",77,1
"probabilistic program",27,1
"problem select",11,1
"problem solv",5,1
"process analysi",29,1
"process min",38,1
"professional develop",75,1
"professional develop",78,1
"program",40,2
"python",30,1
"q-matrix",21,1
"q-matrix",54,1
"quality assess",52,1
"quality metr",52,1
"quantified self",50,1
"real-tim",84,1
"real tim",84,1
"reflect",44,1
"regression analysi",73,1
"regulation strategi",67,1
"research design",72,1
"researcher-practitioner partnership",32,1
"reservoir comput",26,1
"risk predict",82,1
"rmse model",62,1
"rule spac",54,1
"scaffold",57,1
"school failur",43,1
"science learn",78,1
"self-directed learn",77,1
"self-expect",79,1
"self-selection bia",77,1
"sensor",22,1
"sentiment analysi",84,1
"serious gam",11,1
"share",29,1
"sift",12,1
"simul",30,1
"social media",28,1
"social network",28,1
"sociocultural theori",50,1
"sociology of educ",39,1
"spark",30,1
"spark",45,1
"spatio-temporal dens",85,1
"spectral metr",13,1
"stability select",25,1
"stem educ",78,1
"structural equation model",25,1
"structural equation model",48,1
"student",84,1
"student classif",11,1
"student model",59,1
"student ne",39,1
"student online behavior",79,1
"student success",73,1
"study log",47,1
"supervised learning classif",56,1
"supervisedlda",63,1
"supervision learn",83,1
"survival analysi",11,1
"survival analysi",53,1
"syllabus",63,1
"symbolic represent",51,1
"teacher assistance tool",5,1
"teacher prepar",75,1
"teamwork",17,2
"temporal analysi",57,1
"temporal coher",83,1
"temporal network",22,1
"temporal reason",66,1
"test",56,1
"text-based learning analyt",18,2
"text min",44,1
"text min",84,1
"theori",58,1
"time log",49,1
"time seri",13,1
"time seri",33,1
"time seri",51,1
"time series classif",12,1
"topic model",44,1
"transaction level data",37,1
"translational mot",83,1
"tutoring system",11,1
"univers",74,1
"unizin",84,1
"valid",74,1
"virtual learning environ",75,1
"visual",30,1
"visual",36,1
"visual learning analyt",14,2
"visual represent",23,1
"web lectur",80,1
"wheelspin",59,1
"wiki",8,2
"work readi",64,1
"working with comput",64,1
"workplace learn",34,1
"xerox ignite™",31,1
