"Author","Degree_13_20","Degree_13_14","Degree_15_16","Degree_17_18","Degree_19_20"
"Klingler__S",5,NA,3,4,4
"Klusáček__M",2,2,NA,NA,NA
"Kode__S.",9,NA,9,NA,NA
"Koedinger__K",4,NA,NA,NA,4
"Koedinger__K.",3,NA,NA,NA,3
"Koedinger__K.R",11,9,1,2,NA
"Koedinger__K.R.",18,3,9,6,4
"Koh__K.H",4,NA,4,NA,NA
"Kokku__R",5,NA,NA,5,NA
"Kokku__R.",5,NA,NA,5,NA
"Kolb__J",2,NA,NA,NA,2
"Koller__D.",5,5,NA,NA,NA
"Konomi__S.",5,NA,NA,NA,5
"Koprinska__I",3,NA,3,NA,NA
"Kosturko__L",3,NA,3,NA,NA
"Kovačić__B",2,NA,2,NA,NA
"Krauss__C",4,NA,NA,2,2
"Kretzschmar__A",2,2,NA,NA,NA
"Krumm__A.E",4,NA,4,NA,NA
"Kuang__R",4,NA,NA,4,NA
"Kuang__X",3,NA,NA,3,NA
"Kumar__A",4,NA,NA,4,NA
"Kumar__R",4,NA,4,NA,NA
"Kumar__V",11,NA,11,NA,NA
"Kumar__V.",1,NA,NA,NA,1
"Kuo__B.-C",2,NA,NA,2,NA
"Kurhila__J.",2,2,NA,NA,NA
"Kyle__K",5,4,3,NA,NA
"Kyllonen__P",4,NA,4,NA,NA
"Kyrilov__A.",0,NA,0,NA,NA
"Léger__S.",2,NA,NA,2,NA
"Labarthe__H",3,NA,3,NA,NA
"Labrie__A",3,NA,NA,NA,3
"Labrum__M",5,NA,NA,5,NA
"Labutov__I",2,NA,2,NA,NA
"Lallé__S",4,NA,NA,4,NA
"Lalwani__A",1,NA,NA,1,NA
"Lamb__A",3,NA,3,NA,NA
"Lan__A",6,NA,NA,6,NA
"Lan__A.S",19,5,1,11,7
"Lan__A.S.",4,NA,NA,NA,4
"Lan__C.-F",4,NA,NA,4,NA
"Landy__D.",3,NA,NA,3,NA
"Lang__C.",4,NA,4,NA,NA
"Lang__D",6,NA,NA,3,3
"Lappas__T",2,NA,NA,NA,2
"Larson__E.C.",1,NA,NA,NA,1
"Lasko__R",3,NA,NA,3,NA
"Lasry__N",3,NA,3,NA,NA
"Lau__J.H",6,NA,NA,6,NA
"Lee__J.E",7,NA,7,NA,NA
"Lee__K",5,NA,5,NA,NA
"Lee__S",2,NA,NA,2,NA
"Lee__S.",3,NA,NA,NA,3
"Lee__S.Y",2,NA,NA,2,NA
"Legaspi__R",3,3,NA,NA,NA
"Lehman__B",4,4,NA,NA,NA
"Leite__W.L",2,NA,NA,NA,2
"Lemieux__F.",1,1,NA,NA,NA
"Lester__J.",14,NA,5,8,8
"Lester__J.C.",9,4,9,NA,NA
"Levin__D.T",4,NA,NA,4,NA
"Levin__J",4,NA,NA,NA,4
"Levin__J.",5,NA,NA,5,NA
"Levy__B",7,NA,NA,NA,7
"Lewkow__N",9,NA,9,NA,NA
"Li__H",10,2,4,2,2
"Li__H.",1,NA,NA,1,NA
"Li__J",3,NA,NA,3,NA
"Li__M.",2,NA,NA,NA,2
"Li__N",2,2,NA,NA,NA
"Li__P",3,NA,3,NA,NA
"Li__Q",5,NA,1,NA,4
"Li__S",2,2,NA,NA,NA
"Li__X",11,NA,5,6,NA
"Li__X.",3,NA,3,NA,NA
"Li__Y",2,NA,NA,2,NA
"Liang__C",4,NA,NA,NA,4
"Liew__C.W.",1,NA,NA,1,NA
"Likens__A.D",11,3,6,4,NA
"Lim__H.",3,NA,1,NA,3
"Lin__K.-I",8,8,NA,NA,NA
"Lin__Y.-R",2,NA,2,NA,NA
"Lindsey__R.V",2,NA,2,NA,NA
"Linn__M.",2,NA,NA,2,NA
"Linn__M.C.",3,NA,NA,NA,3
"Lintean__M",4,4,NA,NA,NA
"Lioma__C.",3,NA,NA,3,2
"Lippert__A",12,NA,NA,12,NA
"Lipson__H.",1,NA,1,NA,NA
"Litman__D.",1,1,NA,NA,NA
"Liu__J",1,NA,NA,1,NA
"Liu__K",3,NA,3,NA,NA
"Liu__L",7,NA,4,3,NA
"Liu__M.",3,NA,NA,NA,3
"Liu__R",3,NA,2,1,NA
"Liu__S",7,3,NA,NA,4
"Liu__X",4,NA,NA,4,NA
"Liu__Y.-E",6,6,NA,NA,NA
"Liu__Z",15,3,9,4,NA
"Lizarralde__R",6,NA,NA,6,NA
"Loignon__G",4,NA,NA,NA,4
"Long__Y",3,NA,3,NA,NA
"Lopes__M.",2,NA,2,NA,NA
"Lopez__A",4,NA,NA,NA,4
"Lopez__G.",6,NA,NA,6,NA
"Lorenzen__S",2,NA,NA,2,2
"Loye__N.",4,NA,NA,NA,4
"Lu__D",8,NA,NA,NA,8
"Lu__X",3,NA,NA,NA,3
"Lu__Y",1,NA,1,NA,NA
"Lucas__C.G",4,NA,NA,NA,4
"Luengo__V",3,NA,NA,NA,3
"Luengo__V.",2,NA,NA,2,2
"Lukin__G",7,NA,NA,NA,7
"Luukkainen__M",2,2,NA,NA,NA
"Lynch__C",6,NA,NA,6,NA
"Lynch__C.F",33,NA,8,17,6
"Lynch__C.F.",3,NA,NA,NA,3
"Lytle__N",5,NA,NA,NA,5
"Ma__B.",0,NA,NA,NA,0
"Ma__F",2,NA,NA,NA,2
"Ma__L",1,NA,NA,1,NA
"Ma__Y",3,NA,3,NA,NA
"Ma__Y.",1,NA,NA,1,NA
"Młynarska__E",2,NA,2,NA,NA
"Müller__J.C",2,2,NA,NA,NA
"Maass__J.K",1,NA,1,NA,NA
"Mack__D.L.C",2,2,NA,NA,NA
"MacLellan__C.J",9,5,3,NA,4
"Macskassy__S.A",3,3,NA,NA,NA
"Madaio__M",3,NA,NA,3,NA
"Maharjan__N",8,NA,5,3,NA
"Maki__K",5,NA,5,NA,NA
"Malayny__J",3,3,NA,NA,NA
"Malekian__D",4,NA,NA,NA,4
"Malik__A",5,NA,NA,NA,5
"Malkiewich__L",4,NA,4,NA,NA
"Mandalapu__V",1,NA,NA,NA,1
"Mandel__T",6,6,NA,NA,NA
"Mantecon__J.G.A",4,NA,NA,4,NA
"Mao__Y",5,NA,NA,NA,5
"Marcoulides__K.M.",2,NA,NA,NA,2
"Maris__G",5,NA,NA,NA,5
"Markauskaite__L",2,2,NA,NA,NA
"Martin__T",3,3,NA,NA,NA
"Martin__Z",4,NA,NA,4,NA
"Martinez-Maldonado__R",2,2,NA,NA,NA
"Marvaniya__S",3,NA,NA,3,NA
"Marwan__S",5,NA,NA,NA,5
"Mason__B",7,NA,2,6,NA
"Mason__C",3,NA,3,NA,NA
"Matayoshi__J",4,NA,NA,4,NA
"Matsuda__N",2,NA,2,NA,NA
"Maull__K",3,NA,3,NA,NA
"Maull__K.E",1,1,NA,NA,NA
"Mavrikis__M",5,NA,NA,5,NA
"Mbouzao__B",2,NA,NA,NA,2
"McBride__E",2,NA,NA,2,NA
"McBride__E.",0,NA,NA,0,NA
"McBroom__J",3,NA,3,NA,NA
"McCalla__G.",1,NA,NA,1,NA
"McCarthy__K.S",5,NA,NA,5,NA
"McCurdy__K",4,NA,NA,NA,4
"McDonald__J.",4,NA,NA,4,NA
"McGuinness__C",2,2,NA,NA,NA
"Mclaren__B.",3,NA,NA,3,NA
"McLaren__B.M",4,NA,NA,4,NA
"McLaren__B.M.",3,NA,NA,NA,3
"McLaughlin__E.A.",2,2,1,NA,NA
"McNamara__D.",6,NA,6,NA,NA
"McNamara__D.S.",23,10,10,8,NA
"McNulty__K",5,NA,NA,5,NA
"McQuiggan__S",2,NA,2,NA,NA
"McQuiggan__S.",3,NA,3,NA,NA
"Mello__C.E.",1,NA,NA,NA,1
"Menéndez__V.H",6,NA,3,4,NA
"Merceron__A",22,7,NA,NA,5
"Merceron__A.",2,NA,NA,2,NA
"Mi__F",1,NA,NA,1,NA
"Michalenko__J.J",4,NA,NA,4,NA
"Mihăescu__M.C",2,2,NA,NA,NA
"Mills__C",9,NA,7,3,NA
"Milne__B",4,NA,NA,4,NA
"Min__W",16,NA,8,5,8
"Mirsafian__M",4,NA,NA,4,3
"Mittal__R.S",9,NA,NA,9,NA
"Modiri__A",3,NA,NA,NA,3
"Mohammed__F.A",2,NA,NA,NA,2
"Mohania__M.",8,NA,4,6,NA
"Mojarad__S",5,NA,NA,5,NA
"Mojarad__S.",3,NA,3,NA,NA
"Mokbel__B",4,4,NA,NA,NA
"Molnar__K",6,NA,NA,6,NA
"Montero__S",4,NA,NA,4,NA
"Moore__M.",6,NA,NA,6,NA
"Moore__R",9,NA,NA,NA,9
"Morency__L.-P",5,NA,5,NA,NA
"Mori__M",1,NA,1,NA,NA
"Morrison__D",5,NA,5,NA,NA
"Morsomme__R",1,NA,NA,NA,1
"Morsy__S",1,NA,NA,NA,1
"Mostafavi__B",1,1,1,NA,NA
"Mostafavi__B.",3,NA,NA,3,NA
"Mostow__J.",2,2,NA,NA,NA
"Mott__B",14,NA,5,5,11
"Mott__B.W",8,NA,8,NA,NA
"Motz__B",3,NA,NA,3,NA
"Motz__B.A",3,NA,NA,3,NA
"Mouri__K",5,NA,NA,NA,5
"Mozer__M",4,NA,NA,4,NA
"Mozer__M.",8,NA,NA,8,NA
"Mozer__M.C.",2,NA,2,NA,NA
"Mudrick__N",4,NA,NA,4,NA
"Murray__T",3,3,NA,NA,NA
"Murty__M.N.",2,NA,NA,2,NA
"Mussack__D",6,NA,NA,NA,6
"Myers__B.A.",5,5,NA,NA,NA
"Nagar__S",5,NA,NA,5,NA
"Naismith__B",4,NA,NA,4,NA
"Nam__S",2,NA,NA,2,NA
"Nam__S.",0,NA,0,NA,NA
"Nambi__D",4,NA,NA,NA,4
"Nanda__G",4,NA,NA,4,1
"Nandanwar__S",2,NA,NA,2,NA
"Natriello__G.",7,NA,NA,7,NA
"Nawaz__S.",4,NA,NA,NA,4
"Nazaretsky__T",2,NA,NA,NA,2
"Ng__A",5,5,NA,NA,NA
"Ng__K.H.R",3,NA,3,NA,NA
"Ngiam__J.",3,NA,NA,3,NA
"Nguyen__A",3,NA,NA,3,NA
"Nguyen__H",4,NA,NA,1,3
"Nikolaev__A.",13,NA,NA,6,NA
"Nikolakopoulos__A.N",2,NA,NA,NA,2
"Ning__X",3,NA,NA,2,3
"Niraula__N",4,4,NA,NA,NA
"Niraula__N.B",2,2,NA,NA,NA
"Nitta__S.V.",5,NA,NA,5,NA
"Niu__K",5,NA,5,NA,NA
"Niu__Z",5,NA,5,NA,NA
"Nixon__T",3,3,NA,NA,NA
"Nixon__T.",3,3,0,NA,NA
"Nkambou__R",4,NA,NA,3,2
"Nkambou__R.",13,NA,NA,NA,3
"Nogaito__I",5,NA,2,4,NA
"Nowak__R",6,NA,NA,6,NA
"Nowak__R.",2,NA,2,NA,NA
"Numao__M.",3,3,NA,NA,NA
"Nye__B",5,NA,NA,5,NA
"Nystrand__M",8,NA,8,NA,NA
"O’Haver__B.",2,NA,2,NA,NA
"O’Rourke__E",6,6,NA,NA,NA
"Ocumpaugh__J",19,NA,11,8,2
"Ocumpaugh__J.",3,3,NA,NA,NA
"Ocumpaugh__J.L",2,NA,NA,NA,2
"Oeda__S",1,1,NA,NA,NA
"Ogan__A",3,NA,NA,3,NA
"Ogata__H",5,NA,NA,NA,5
"Ogata__H.",2,NA,2,NA,NA
"Ojah__T",3,NA,NA,3,NA
"Okubo__F",2,NA,2,NA,NA
"Olawo__D",3,3,NA,NA,NA
"Olivé__D.M.",1,NA,NA,NA,1
"Oliveira__M.S",1,NA,NA,NA,1
"Oliveira__W",5,NA,NA,NA,5
"Olmo__J.L",2,2,NA,NA,NA
"Olney__A.",2,2,NA,NA,NA
"Olney__A.M",16,NA,8,12,NA
"Olson__L.A",3,NA,NA,NA,3
"Olson__R",3,3,NA,NA,NA
"Ortiz-Vazquez__A",4,NA,NA,4,NA
"Osman__A.",2,NA,NA,NA,2
"Ostrow__K",3,NA,NA,3,NA
"Ostrow__K.S",8,NA,8,NA,NA
"Ou__L",5,NA,NA,NA,5
"Oudeyer__P.-Y",2,NA,2,NA,NA
"Owende__P.",2,2,NA,NA,NA
"Pérez-Lemonche__Á",2,NA,NA,2,NA
"Paaßen__B",2,NA,2,NA,NA
"Paassen__B",4,4,NA,NA,NA
"Paepcke__A.",13,NA,3,5,5
"Pai__K.-C.",2,NA,NA,2,NA
"Pandey__S",1,NA,NA,NA,1
"Pane__J.F.",2,NA,2,NA,NA
"Paquette__L",9,NA,NA,6,3
"Paquette__L.",17,NA,4,6,NA
"Pardos__Z",3,NA,NA,NA,3
"Pardos__Z.",1,NA,1,NA,NA
"Pardos__Z.A",6,6,NA,NA,NA
"Pardos__Z.A.",5,NA,NA,NA,5
"Paredes__Y.V",2,NA,NA,2,NA
"Park__J",5,NA,NA,5,NA
"Pashler__H.",4,NA,NA,4,NA
"Pataranutaporn__V",3,3,NA,NA,NA
"Patel__M",3,NA,NA,3,NA
"Patel__P",6,NA,NA,6,NA
"Patel__R",3,NA,3,NA,NA
"Patikorn__T",9,NA,NA,9,NA
"Patil__S",4,NA,4,NA,NA
"Pavlik__P",16,NA,NA,16,NA
"Pavlik__P.__Jr",6,NA,NA,2,4
"Pavlik__P.I",3,3,NA,NA,NA
"Pavlik__P.I.__Jr",2,NA,NA,NA,2
"Pavlik__P.I.__Jr.",1,NA,1,NA,NA
"Pawl__A.",0,0,NA,NA,NA
"Pechenizkiy__M.",3,NA,NA,3,NA
"Pelánek__R",1,NA,1,NA,NA
"Pelánek__R.",3,2,NA,1,NA
"Pennebaker__J.W",5,NA,NA,5,NA
"Penteado__B.E.",0,NA,0,NA,NA
"Penuel__W.R",7,NA,7,NA,NA
"Perry__M",5,NA,NA,5,NA
"Pezzullo__L.G",8,NA,8,NA,NA
"Piech__C",10,5,NA,NA,5
"Piech__C.",6,NA,NA,3,3
"Pigeau__A",2,NA,NA,NA,2
"Pinkard__N.",7,NA,7,NA,NA
"Pinkwart__N",4,4,NA,NA,NA
"Pinkwart__N.",2,NA,2,NA,NA
"Podkul__T",4,NA,4,NA,NA
"Pokrajac__D.D",3,NA,NA,3,NA
"Polyzou__A",2,NA,NA,1,2
"Popineau__F",3,NA,NA,NA,3
"Popović__Z.",8,6,NA,2,NA
"Popp__P.O",6,NA,NA,6,NA
"Poulovassilis__A.",5,NA,NA,5,NA
"Prabhu__R.",3,NA,NA,3,NA
"Pramudianto__F",7,NA,NA,NA,7
"Praseed",2,NA,NA,NA,2
"Prié__Y.",2,NA,NA,NA,2
"Price__T",2,NA,NA,2,NA
"Price__T.W",9,NA,2,NA,9
"Prieto__M.E.",3,NA,3,NA,NA
"Pritchard__D.",7,NA,2,5,NA
"Pritchard__D.E",5,5,NA,NA,NA
"Pritchard__D.E.",5,3,NA,NA,2
"Protopapas__P",4,NA,NA,4,NA
"Pu__S",3,NA,NA,3,NA
"Pu__Y",2,NA,NA,NA,2
"Pursel__B",4,NA,NA,NA,4
"Pursian__A",7,7,NA,NA,NA
"Pytlarz__I",3,NA,NA,3,NA
"Qiaoye__Y",4,NA,NA,4,NA
"Quigley__D",7,NA,7,NA,NA
"Quigley__D.",3,NA,3,NA,NA
"Quirós__P",5,5,NA,NA,NA
"Raborn__A.W",2,NA,NA,NA,2
"Rachatasumrit__N",4,NA,NA,NA,4
"Radhakrishnan__B",7,NA,NA,NA,7
"Radu__I",4,NA,NA,NA,4
"Rafferty__A.",6,NA,NA,NA,6
"Rafferty__A.N",4,2,2,NA,NA
"Rafferty__A.N.",3,NA,NA,NA,3
"Rai__D",2,2,NA,NA,NA
"Rajendran__R",4,NA,NA,4,NA
"Ram__P.",2,NA,NA,NA,2
"Ramachandran__L",2,2,NA,NA,NA
"Ramakrishnan__A",2,NA,NA,2,NA
"Ramanarayanan__V",1,NA,1,NA,NA
"Ramesh__A",2,NA,2,NA,NA
"Ramirez__L",4,NA,NA,NA,4
"Rangwala__H",2,NA,2,NA,NA
"Rangwala__H.",4,NA,NA,2,4
"Rau__M",3,3,NA,NA,NA
"Rau__M.A",11,3,3,6,NA
"Rau__M.A.",0,NA,0,NA,NA
"Ravenell__M",2,NA,NA,2,NA
"Ravindran__B",2,2,NA,NA,NA
"Recker__M",7,NA,7,NA,NA
"Rectanus__K.T.",1,NA,1,NA,NA
"Reddick__R.",0,NA,NA,NA,0
"Reed__B.G",5,NA,NA,5,NA
"Reilly__J.M",3,NA,NA,2,2
"Ren__Z",5,NA,2,2,3
"Revelle__M",4,NA,4,NA,NA
"Rho__Y.J",2,NA,NA,NA,2
"Rhodes__N.M",4,4,NA,NA,NA
"Riccardi__G.",2,NA,2,NA,NA
"Rice__A",5,NA,NA,NA,5
"Rice__A.",5,NA,NA,NA,5
"Rickert__M",3,NA,NA,3,NA
"Riedesel__M",9,NA,9,NA,NA
"Risko__E",5,NA,NA,5,NA
"Ritter__S",10,3,8,NA,NA
"Ritter__S.",5,3,NA,3,NA
"Robson__R",2,NA,NA,2,NA
"Rodríguez__F.J",8,NA,NA,NA,8
"Rodrigo__M.M.T.",1,NA,NA,1,NA
"Rodriguez__F",5,NA,NA,5,NA
"Rogers__T.T",6,NA,NA,6,NA
"Romero__C",6,3,3,NA,NA
"Romero__C.",6,NA,NA,6,NA
"Ronchetti__M",2,NA,2,NA,NA
"Ronen__M",7,NA,NA,NA,7
"Rosé__C.P",4,NA,4,NA,NA
"Rosé__C.P.",5,NA,1,NA,4
"Roschelle__J",3,NA,3,NA,NA
"Roscoe__R.D",7,NA,7,NA,NA
"Rose__C.",5,NA,5,NA,NA
"Rosen__Y",6,NA,NA,6,NA
"Rowe__E",6,NA,6,NA,NA
"Rowe__J",6,NA,NA,3,3
"Roy__M.-H",6,NA,NA,NA,6
"Rubin__A.",4,NA,NA,4,NA
"Ruipérez-Valiente__J.A",2,NA,NA,NA,2
"Rummel__N.",3,3,NA,NA,NA
"Rupp__A.",3,NA,NA,3,NA
"Rus__V",13,5,9,NA,NA
"Rus__V.",9,3,NA,5,2
"Rushkin__I",6,NA,NA,6,NA
"Rutherford__T.",4,NA,NA,4,NA
"Sabourin__J",5,NA,5,NA,NA
"Sadiq__S",3,NA,NA,NA,3
"Sahebi__S",2,NA,2,1,NA
"Sahebi__S.",1,NA,NA,NA,1
"Saini__S.K.",3,NA,NA,3,NA
"Salehizadeh__S.M.A",3,3,NA,NA,NA
"Sales__A",4,NA,4,NA,NA
"Sales__A.C",5,NA,2,3,NA
"Sales__A.C.",0,NA,NA,0,NA
"Salmeron-Majadas__S",6,6,NA,NA,NA
"Samei__B",11,3,8,3,NA
"San_Pedro__M.O.Z",3,3,NA,NA,NA
"Sanchez__S",3,3,NA,NA,NA
"Saneiro__M.",5,5,NA,NA,NA
"Santos__O.C",6,6,NA,NA,NA
"Sao_Pedro__M.A",2,2,NA,NA,NA
"Sawyer__R",3,NA,NA,3,NA
"Schaldenbrand__P",2,NA,NA,NA,2
"Schaldenbrand__P.",2,NA,NA,2,NA
"Scheines__R",7,3,NA,2,2
"Scheines__R.",3,3,NA,NA,NA
"Scherzinger__F",3,NA,NA,3,NA
"Schinazi__V.R",4,NA,NA,NA,4
"Schlender__A",3,NA,NA,3,NA
"Schmück__E",4,NA,NA,NA,4
"Schneider__B.",9,NA,NA,2,8
"Schrater__P",3,NA,NA,NA,3
"Schrater__P.",4,NA,NA,NA,4
"Schunn__C.D",3,NA,3,NA,NA
"Schwartz__D.L.",2,NA,1,NA,1
"Schwarzrock__S",7,7,NA,NA,NA
"Scupelli__P",11,NA,11,NA,NA
"Seanosky__J",9,NA,9,NA,NA
"Seaton__D",5,5,NA,NA,NA
"Seaton__D.T",3,3,NA,NA,NA
"Segal__A",7,NA,NA,NA,7
"Selent__D",4,NA,NA,4,NA
"Sen__A",6,NA,NA,6,NA
"Sengupta__B",14,NA,10,6,NA
"Sengupta__B.",3,NA,NA,3,NA
"Shaffer__C.A.",4,NA,4,NA,NA
"Shaffer__D.W",13,NA,4,12,NA
"Shafran__E",4,NA,NA,NA,4
"Shah__R",2,NA,2,NA,NA
"Shaik__N.",5,NA,NA,5,NA
"Shaikh__H",3,NA,NA,NA,3
"Shang__X.",3,NA,NA,NA,3
"Sharma__A",4,NA,4,NA,NA
"Sharma__K",3,NA,3,NA,NA
"Sharma__M",5,NA,NA,5,NA
"Shavlovsky__M.",1,NA,1,NA,NA
"Shaw__E.",3,3,NA,NA,NA
"Shechtman__N",5,NA,NA,5,NA
"Shen__S",1,NA,1,1,NA
"Sher__V",2,NA,NA,NA,2
"Sher__V.",0,NA,NA,NA,0
"Sherzad__A.R.",0,NA,0,NA,NA
"Sheshadri__A",4,NA,NA,4,NA
"Shi__G",13,NA,NA,13,NA
"Shi__L",5,NA,NA,NA,5
"Shi__R",4,NA,NA,4,NA
"Shillo__R",9,NA,NA,NA,9
"Shimada__A",7,NA,2,NA,5
"Shrier__I.",2,NA,NA,NA,2
"Shrivastava__K",4,NA,4,NA,NA
"Shubeck__K",17,NA,NA,17,NA
"Shute__V",4,NA,4,NA,NA
"Shute__V.",2,NA,NA,2,NA
"Siemens__G",5,NA,NA,5,NA
"Simmering__V.R",5,NA,NA,NA,5
"Simon__J.",0,0,NA,NA,NA
"Sinclair__A",4,NA,NA,NA,4
"Sindhgatta__R",3,NA,NA,3,NA
"Singh__B.P",1,NA,1,NA,NA
"Singh__H",3,NA,NA,3,NA
"Singla__A",3,NA,NA,3,NA
"Sinha__A.K",5,NA,NA,5,NA
"Sitton__D.",7,NA,NA,NA,7
"Skryabin__M.",1,NA,NA,1,NA
"Slater__S",11,NA,11,NA,NA
"Slavuj__V.",2,NA,2,NA,NA
"Slim__A",3,NA,NA,3,NA
"Smeets__R",2,NA,NA,NA,2
"Smith__A",8,NA,NA,NA,8
"Smith__C",8,NA,NA,NA,8
"Smith__D.",3,3,NA,NA,NA
"Smyth__P",5,NA,NA,5,NA
"Snow__E.L",14,5,4,5,NA
"Soh__L.-K.",1,1,NA,NA,NA
"Solenthaler__B",5,NA,3,4,4
"Song__Z",5,NA,5,NA,NA
"Southavilay__V",2,2,NA,NA,NA
"Spanakis__G.",1,NA,NA,NA,1
"Spann__C.A",5,NA,NA,5,NA
"Srinivasa__S",2,NA,NA,NA,2
"Srivastava__S",4,NA,4,NA,NA
"Stahovich__T.F.",5,5,NA,NA,NA
"Stamper__J",27,NA,3,12,15
"Stamper__J.",4,NA,4,NA,NA
"Stamper__J.C",2,2,NA,NA,NA
"Stanhope__D.S",1,NA,1,NA,NA
"Stapel__M",2,NA,2,NA,NA
"Stefanescu__D.",5,5,NA,NA,NA
"Steinberg__J",3,NA,NA,3,NA
"Stenhaug__B",3,NA,NA,NA,3
"Stephenson__S.",2,NA,NA,NA,2
"Stevens__M.L",5,NA,NA,NA,5
"Stewart__A",5,NA,NA,5,NA
"Stokes__J",5,NA,NA,5,NA
"Stone__C",6,NA,NA,NA,6
"Studer__C",9,5,NA,NA,4
"Studer__C.",1,NA,1,NA,NA
"Stump__G.S",5,5,NA,NA,NA
"Subramanian__V",4,NA,NA,4,NA
"Sudler__K",3,NA,NA,3,NA
"Sultan__A",7,NA,7,NA,NA
"Sumner__T",9,NA,9,NA,NA
"Sumner__T.",1,1,NA,NA,NA
"Sun__L",3,NA,NA,3,NA
"Sun__M",1,NA,1,NA,NA
"Sun__X",8,NA,8,NA,NA
"Sunahase__T",2,NA,NA,NA,2
"Sundaram__H",4,NA,NA,4,NA
"Supraja__S",3,NA,NA,3,NA
"Swiecki__Z",6,NA,4,4,NA
"Sy__A",3,NA,NA,3,NA
"Syed__M",4,NA,NA,NA,4
"Szkutak__R.",3,3,NA,NA,NA
"Tabach__M.",7,NA,NA,NA,7
"Taijala__T.T.",3,NA,NA,NA,3
"Takeuchi__Y.",1,NA,NA,1,NA
"Takhar__R",2,NA,NA,NA,2
"Tan__Y",3,NA,3,NA,NA
"Tang__J.",4,NA,NA,NA,4
"Tang__Q",8,8,NA,NA,NA
"Tang__Y",4,NA,NA,4,NA
"Taniguchi__R.-I",5,NA,NA,NA,5
"Taniguchi__Y",5,NA,NA,NA,5
"Tanner_Jackson__G",3,3,NA,NA,NA
"Tarmazdi__H.",2,NA,2,NA,NA
"Tatinati__S",3,NA,NA,3,NA
"Tato__A",4,NA,NA,3,2
"Taub__M.",4,NA,NA,4,NA
"Terzi__E.",2,NA,NA,NA,2
"Thai__K.P",6,NA,NA,NA,6
"Thanasuan__K",2,NA,NA,2,NA
"Tian__J.",2,NA,2,NA,NA
"Tingley__D",6,NA,NA,6,NA
"Tissenbaum__M",2,NA,2,NA,NA
"Toda__A.M",5,NA,NA,NA,5
"Tomar__G",4,NA,4,NA,NA
"Tomkins__S",2,NA,2,NA,NA
"Tran__K.-N",6,NA,NA,6,NA
"Truchon__L",3,3,NA,NA,NA
"Tubridy__S",6,NA,NA,6,NA
"Tzayada__O",7,NA,NA,NA,7
"Uesbeck__P.M.",2,NA,2,NA,NA
"Ullman__J",3,NA,3,NA,NA
"Unal__D.S.",0,NA,NA,NA,0
"Ung__M.A",4,4,NA,NA,NA
"Unnam__A",2,NA,NA,NA,2
"Uzun__H",4,NA,NA,4,NA
"Vaghefi__M",2,2,NA,NA,NA
"Vail__A.K",9,NA,9,NA,NA
"Vainas__O",7,NA,NA,NA,7
"Valdés__J.J.",1,NA,NA,NA,1
"van_de_Sande__B.",0,0,0,NA,NA
"Van_Der_Maas__H.L.J.",5,NA,NA,NA,5
"Van_Dessel__S",4,NA,NA,NA,4
"Van_Horne__K",7,NA,7,NA,NA
"Van_Inwegen__E.G",11,NA,11,NA,NA
"Varatharaj__A",3,NA,NA,NA,3
"Varner__L.K",3,3,NA,NA,NA
"Vats__D",4,4,NA,NA,NA
"Veeramachaneni__K.",4,NA,4,NA,NA
"Vega__B",4,4,NA,NA,NA
"Vela__A.",1,NA,NA,NA,1
"Velagapudi__N",4,NA,NA,NA,4
"Velasquez__N.F",3,3,NA,NA,NA
"Venant__R",1,NA,NA,NA,1
"Venkat__A.D.",4,NA,NA,4,NA
"Ventura__S.",3,3,NA,NA,NA
"Vie__J.-J.",3,NA,NA,NA,3
"Vihavainen__A",2,2,NA,NA,NA
"Villamor__M.M",1,NA,NA,1,NA
"Vitale__J",2,NA,NA,2,NA
"Vizitei__E",2,NA,NA,2,NA
"von_Davier__A.A",4,NA,4,NA,NA
"Wainess__R",5,NA,NA,5,NA
"Walker__A.",5,NA,5,NA,NA
"Walker__B",3,NA,NA,3,NA
"Waller__D.R",4,NA,NA,4,NA
"Wampfler__R",5,NA,NA,4,4
"Wan__H",3,NA,NA,3,NA
"Wang__B.",2,NA,NA,2,NA
"Wang__C",7,NA,5,NA,2
"Wang__E.Y.",3,NA,NA,3,NA
"Wang__F",1,NA,1,NA,NA
"Wang__G.",6,NA,NA,NA,6
"Wang__H.Y",6,NA,NA,6,NA
"Wang__J",19,8,NA,3,8
"Wang__J.Z",3,NA,NA,3,NA
"Wang__L",3,NA,NA,3,NA
"Wang__S.",0,NA,0,NA,NA
"Wang__T",6,NA,NA,NA,6
"Wang__X",8,NA,8,NA,NA
"Wang__Y",12,9,NA,NA,3
"Wang__Z",21,NA,NA,11,10
"Wang__Z.",0,NA,NA,NA,0
"Wanigasekara__N",6,NA,6,NA,NA
"Ward__B",8,NA,8,NA,NA
"Warnakulasooriya__R.",1,NA,NA,NA,1
"Warschauer__M.",5,NA,NA,5,NA
"Waters__A",3,NA,NA,3,NA
"Waters__A.E",7,3,NA,4,4
"Watkins__H",6,NA,NA,6,NA
"Weitekamp__D.__II",4,NA,NA,NA,4
"Wen__M",5,NA,5,NA,NA
"Wenzlaff__B.",7,7,NA,NA,NA
"Wes_Crues__R",5,NA,NA,5,NA
"Wes_Crues__R.",0,NA,NA,0,NA
"West__J.",4,NA,NA,NA,4
"West__M",2,NA,NA,2,NA
"Weston__J.L",1,1,NA,NA,NA
"White__S",4,NA,4,NA,NA
