"Author","Degree_13_20","Degree_13_14","Degree_15_16","Degree_17_18","Degree_19_20"
"Boyer__K.E",32,4,14,11,8
"Boyer__K.E.",1,1,NA,NA,NA
"Bradfield__F",5,NA,NA,5,NA
"Bradford__A",3,NA,NA,NA,3
"Brefeld__U.",2,NA,NA,2,NA
"Breitfeller__L",4,NA,NA,NA,4
"Breslow__L.",5,5,NA,NA,NA
"Brinton__C",4,NA,NA,4,NA
"Brinton__C.G",7,NA,NA,7,NA
"Broekman__F",2,NA,NA,NA,2
"Broisin__J",1,NA,NA,NA,1
"Brooks__C",5,NA,NA,5,NA
"Brooks__C.",3,NA,NA,1,3
"Brown__R",6,NA,6,NA,NA
"Brown__R.",6,NA,6,NA,NA
"Brunskill__E",6,6,NA,NA,NA
"Brunskill__E.",5,2,3,1,NA
"Brusilovsky__P.",7,3,4,1,NA
"Bryant__T",2,NA,NA,NA,2
"Buffett__S",3,NA,3,NA,NA
"Buffum__P",5,NA,5,NA,NA
"Bulger__M",5,NA,NA,NA,5
"Burdescu__D.D.",2,2,NA,NA,NA
"Burleson__W.",6,NA,NA,6,NA
"Burnett__V",6,NA,NA,NA,6
"Busey__T",3,NA,NA,3,NA
"Butler__C.J",6,NA,NA,6,NA
"Butler__E",6,6,NA,NA,NA
"Buttery__P",5,NA,NA,NA,5
"Buttery__P.",5,NA,NA,NA,5
"Bydžovská__H.",0,NA,0,NA,NA
"Cabestrero__R",5,5,NA,NA,NA
"Cabredo__R",3,3,NA,NA,NA
"Cai__Z",22,NA,4,20,NA
"Cai__Z.",2,2,NA,NA,NA
"Caines__A",9,NA,NA,NA,9
"Calvo__R",2,2,NA,NA,NA
"Cao__D",4,NA,NA,4,NA
"Cao__D.",4,NA,NA,4,NA
"Cao__M",4,NA,NA,2,2
"Capello__S",6,NA,NA,NA,6
"Capoor__B",5,NA,NA,NA,5
"Carbonell__J",3,NA,3,NA,NA
"Cardoso-Leite__P",4,NA,NA,NA,4
"Cardoso-Leite__P.",3,NA,NA,NA,3
"Carin__L",4,4,NA,NA,NA
"Carlson__R",3,3,NA,NA,NA
"Carmichael__T",5,NA,NA,5,NA
"Carter__K.E",4,NA,NA,4,NA
"Carvalho__P",4,NA,NA,NA,4
"Carvalho__P.F",3,NA,NA,3,NA
"Cassell__J.",3,NA,NA,3,NA
"Castro__C",2,2,NA,NA,NA
"Chae__H.S",7,NA,NA,7,NA
"Chaisangmongkon__W",2,NA,NA,2,NA
"Chan__P.K.",1,NA,1,NA,NA
"Chandrasekaran__S",2,NA,2,NA,NA
"Chaplot__D.S",3,NA,3,NA,NA
"Charles__E.S.",3,NA,3,NA,NA
"Chaturvedi__R",1,1,NA,NA,NA
"Chaturvedi__S",2,NA,NA,2,NA
"Chaudhry__R",3,NA,NA,3,NA
"Chawla__N.V.",4,NA,NA,NA,4
"Chen__B",2,NA,NA,2,NA
"Chen__G",8,NA,3,2,3
"Chen__L",6,NA,5,NA,2
"Chen__L.",1,NA,1,NA,NA
"Chen__S",12,NA,NA,12,NA
"Chen__W",8,NA,NA,8,NA
"Chen__Y",8,NA,2,NA,6
"Chen__Z",12,5,2,5,NA
"Chen__Z.",1,NA,NA,NA,1
"Cheng__Q",16,NA,NA,16,NA
"Chetlur__M",9,NA,6,NA,4
"Chi__C.-L.",4,NA,NA,4,NA
"Chi__M",22,NA,2,4,6
"Chi__M.",15,NA,5,5,9
"Chiang__M.",6,NA,NA,6,NA
"Chin__S.-C",4,NA,NA,4,NA
"Chirițoiu__M.Ș",2,2,NA,NA,NA
"Chng__E",4,NA,NA,NA,4
"Choffin__B",3,NA,NA,NA,3
"Choi__H",10,NA,5,5,NA
"Chopra__S",4,NA,NA,4,3
"Chounta__I.-A",4,NA,NA,4,NA
"Christie__S.T",3,NA,NA,NA,3
"Circi__R",2,NA,NA,NA,2
"Clement__B",2,NA,2,NA,NA
