"Author","Degree_13_20","Degree_13_14","Degree_15_16","Degree_17_18","Degree_19_20"
"Caballero-Caballero__Sergio",2,NA,NA,NA,2
"Cai__Zhiqiang",5,NA,NA,NA,5
"Camacho__Ida",1,NA,NA,1,NA
"Cambre__Julia",3,3,NA,NA,NA
"Campos__Fabio",3,NA,NA,NA,3
"Canfield__Christopher_D.",4,NA,4,NA,NA
"Canny__John",2,2,NA,NA,NA
"Carlier__Sebastien",3,NA,NA,3,NA
"Carlon__May",9,NA,NA,NA,9
"Carlon__May_Kristine_Jonson",2,NA,NA,NA,2
"Carlson__Ryan",6,6,NA,NA,NA
"Carmon__Colin_M.",5,NA,NA,NA,5
"Carroll__John_M.",4,NA,4,NA,NA
"Cassell__Justine",1,NA,1,NA,NA
"Cassidy__Caitlin",2,NA,NA,2,NA
"Catrambone__Richard",1,1,NA,NA,NA
"Cerezo__Rebeca",6,NA,6,NA,NA
"Cha__Yeongmin",8,NA,NA,NA,8
"Chai__Yuqian",3,NA,NA,3,NA
"Champaign__John",5,5,NA,NA,NA
"Chaplot__Devendra_Singh",2,NA,2,NA,NA
"Charlevoix__Donna",1,1,NA,NA,NA
"Chau__Hung",2,NA,NA,NA,2
"Chaudhury__Rimika",1,NA,NA,NA,1
"Cheatle__Amy",4,NA,4,NA,NA
"Chen__Antares",4,NA,NA,4,NA
"Chen__Binglin",4,NA,NA,2,4
"Chen__Bingxin",2,2,NA,NA,NA
"Chen__Charles_H.",1,NA,NA,NA,1
"Chen__Guanliang",3,NA,3,NA,NA
"Chen__Lei",3,NA,NA,3,NA
"Chen__Maximillian",1,NA,NA,NA,1
"Chen__Meng_Chang",2,NA,2,NA,NA
"Chen__Naichun",2,NA,NA,2,NA
"Chen__Pin-Ju",1,1,NA,NA,NA
"Chen__Sally",4,NA,NA,NA,4
"Chen__Yang-Hsueh",1,1,NA,NA,NA
"Chen__Youjie",2,NA,NA,1,1
"Chen__Yvonne",4,NA,4,NA,NA
"Chen__Zhongzhou",8,NA,4,4,NA
"Cheng__Hao-Fei",8,NA,NA,NA,8
"Cheng__Hao_Fei",3,NA,NA,3,NA
"Cheung__Kevin",6,6,NA,NA,NA
"Chhabra__Sukrit",4,NA,4,NA,NA
"Chilana__Parmit_K.",1,NA,NA,NA,1
"Cho__Junghyun",8,NA,NA,NA,8
"Choi__Kabdo",4,NA,NA,NA,4
"Choi__Youngduck",8,NA,NA,NA,8
"Chorianopoulos__Konstantinos",2,2,NA,NA,NA
"Chrisochoides__Nikos",2,2,NA,NA,NA
"Chua__Soon_Hau",3,NA,3,NA,NA
"Chuang__Isaac",11,6,2,4,NA
"Chudzicki__Christopher",2,NA,2,NA,NA
"Chujfi__Salim",3,NA,NA,NA,3
"Clarkes-Nias__Jaye",5,NA,5,NA,NA
"Cliff__Alison",8,NA,8,NA,NA
"Close__Kevin",5,NA,5,NA,NA
"Cobo__Crist\'{o}bal",3,NA,NA,3,NA
"Cobos__Ruth",3,NA,3,NA,NA
"Coe__Angela",3,NA,3,NA,NA
"Coetzee__D.",3,NA,3,NA,NA
"Coetzee__Derrick",4,4,NA,NA,NA
"Cohen__Geoffrey_L.",2,NA,NA,2,NA
"Coleman__Cody_A.",2,NA,2,NA,NA
"Colvin__Kimberly_F.",5,5,NA,NA,NA
"Conde_Gafaro__Barbara",1,NA,NA,NA,1
"Cooper__Stephen",2,2,NA,NA,NA
"Cope__William",4,NA,NA,NA,4
"Corpe\~{n}o__Eduardo",9,NA,NA,NA,9
"Corrigan-Gibbs__Henry",4,NA,4,NA,NA
"Cortes-Mendez__Manoel",9,NA,NA,NA,9
"Cosyn__Eric",2,NA,NA,NA,2
"Coughlan__Tim",3,NA,NA,3,NA
"Cox__John",6,NA,6,NA,NA
"Cross__Andrew",16,12,8,NA,NA
"Cross__Jeffrey",9,NA,NA,NA,9
"Cross__Jeffrey_S.",2,NA,NA,NA,2
"Crues__R._Wes",5,NA,NA,5,NA
"Cui__Yi",2,NA,1,2,NA
"Culler__David",1,NA,1,NA,NA
"Cummins__Stephen",5,NA,5,NA,NA
"Cutrell__Edward",18,12,10,NA,NA
"Czerwinski__Erin",3,NA,NA,NA,3
"D'Angelo__Cynthia",7,NA,7,NA,NA
"D'Antoni__Loris",6,NA,NA,6,NA
"Dahiya__Akshay",6,NA,NA,NA,6
"Dang__Steven",2,NA,NA,2,NA
"Dasgupta__Anirban",4,4,NA,NA,NA
"Dasgupta__Sayamindu",1,NA,NA,1,NA
"Daskalakis__Constantinos",4,NA,4,NA,NA
"Datha__Naren",12,12,NA,NA,NA
"Daume__Hal",4,4,NA,NA,NA
"Davies__Ian",5,NA,5,NA,NA
"Davis__Dan",4,NA,3,3,NA
"Davis__Daniel",3,NA,NA,3,NA
"Davis__Glenn",5,NA,NA,NA,5
"Davis__Glenn_M.",11,NA,NA,2,9
"Davis__Katie",0,NA,NA,NA,0
"Day__Scott",2,NA,2,NA,NA
"de_Haan__Jac",6,6,NA,NA,NA
"de_Halleux__Jonathan",3,3,NA,NA,NA
"de_la_Torre__Jimmy",3,NA,NA,NA,3
"de_Vreede__Gert-Jan",7,NA,NA,7,NA
"de_Vreede__Triparna",7,NA,NA,7,NA
"Debelius__Justine",5,NA,NA,5,NA
"DeBoer__Jennifer",1,1,1,NA,NA
"Dede__Christopher_J.",0,0,NA,NA,NA
"Delgado_Kloos__Carlos",4,NA,4,NA,NA
"DeNero__John",9,NA,9,NA,NA
"Denos__Nathalie",4,NA,NA,4,NA
"Derr__Tyler",4,NA,NA,NA,4
"Desai__Purvi",3,NA,3,NA,NA
"Deutsch__Amit",8,2,6,NA,NA
"DiCerbo__Kristen_E.",3,NA,3,NA,NA
"Dickler__Rachel",2,NA,NA,2,2
"Dillahunt__Tawanna",5,2,3,NA,NA
"Dillenbourg__Pierre",3,NA,NA,3,NA
"Dimitriadis__Yannis",4,NA,NA,NA,4
"Ding__Xinyi",1,NA,NA,NA,1
"Disalvo__Betsy",6,NA,NA,NA,6
"Dix__Alan",0,NA,0,NA,NA
"Do__Chuong_B.",2,NA,NA,NA,2
"Dobolyi__Kinga",9,NA,NA,9,NA
"Dodson__Samuel",7,NA,NA,5,6
"Domeniconi__Carlotta",6,NA,6,NA,NA
"Dommeti__Vijaya",1,NA,NA,1,NA
"Donnelly__Christopher",3,NA,3,NA,NA
"Donz\'{e}__Alexandre",3,NA,3,NA,NA
"Doroudi__Shayan",2,NA,NA,2,NA
"Dowell__Nia",2,NA,NA,NA,2
"Dowell__Nia_M.M.",4,NA,NA,4,NA
"Dreier__Kelsey",5,NA,NA,5,NA
"Dronen__Nicholas",2,NA,2,NA,NA
"Drury__Byron",5,NA,NA,NA,5
"Du__Andrew",3,NA,NA,3,NA
"Duncan__Alex",1,NA,NA,NA,1
"Dweck__Carol_S.",6,NA,6,NA,NA
"Dzikovska__Myroslava_O.",2,NA,2,NA,NA
"Edwards__Chris",1,NA,NA,NA,1
"Edwards__Stephen_H.",1,1,NA,NA,NA
"Effenberger__Tom\'{a}\v{s}",5,NA,NA,4,2
"Eidelman__Hadas",5,NA,NA,5,NA
"Einstein__Lisa",7,NA,NA,NA,7
"Ekram__Al-Ahad",0,NA,NA,NA,0
"Ekstrand__Michael_D.",4,4,NA,NA,NA
"Elkherj__Matthew",1,1,NA,NA,NA
"Enos__Ryan",3,NA,3,NA,NA
"Er__Erkan",4,NA,NA,NA,4
"Eschrich__Joseph",4,NA,4,NA,NA
"Espino__Jose_Antonio",3,NA,3,NA,NA
"Essa__Alfred",9,NA,9,NA,NA
"Evans__Brent_J.",6,NA,6,NA,NA
"Everette__Tre",6,NA,NA,NA,6
"Evrard__August_E.",2,NA,NA,NA,2
"Facciotti__Marc",3,NA,NA,3,NA
"Falakmasir__Mohammad_H.",3,NA,3,NA,NA
"Falkner__Katrina",3,NA,1,2,NA
"Falkner__Nickolas",2,NA,NA,2,NA
"Fancsali__Stephen_E.",3,NA,3,NA,NA
"Farahani__Melika",5,NA,NA,NA,5
"Farasat__Alireza",3,NA,NA,3,NA
"Farhana__Effat",2,NA,NA,NA,2
"Farrow__Elaine",2,NA,2,NA,NA
"Faucon__Louis",3,NA,NA,3,NA
"Federicks__Colin",5,NA,NA,5,NA
"Feild__Jacqueline",9,NA,9,NA,NA
"Fels__Sidney",7,NA,NA,5,6
"Feng__Mingyu",8,NA,8,NA,NA
"Fenske__David",6,6,NA,NA,NA
"Ferguson__Duncan",4,NA,NA,NA,4
"Ferguson__Duncan_C.",2,NA,2,NA,NA
"Ferguson__Rebecca",7,NA,3,NA,5
"Fernando__Shantha",5,NA,NA,5,NA
"Fiacco__James",1,NA,NA,1,NA
"Figueredo__Lucas",6,NA,NA,6,NA
"Figueroa__Andrew",2,NA,NA,2,NA
"Finkelberg__Roy",12,NA,NA,NA,12
"Finn__Ed",4,NA,4,NA,NA
"Firssova__Olga",2,NA,2,NA,NA
"Fisher__Douglas",3,NA,2,3,NA
"Fisher__Douglas_H.",6,NA,6,NA,NA
"Flores__Evelyn",6,NA,NA,NA,6
"Foltz__Peter_W.",9,NA,3,NA,7
"Fong__Matthew",7,NA,NA,5,6
"Forte__Andrea",4,NA,4,NA,NA
"Fowler__Max",4,NA,NA,NA,4
"Fox__Armando",24,5,17,6,NA
"Franceschini__Andrea",2,NA,NA,NA,2
"Frank__Kenneth_A.",4,NA,NA,NA,4
"Fraser__C._Ailie",3,NA,3,NA,NA
"Fratamico__Lauren",2,NA,NA,2,NA
"Fredericks__Colin",8,5,4,NA,NA
"Frens__John",2,NA,NA,2,NA
"Freund__Yoav",1,1,NA,NA,NA
"Frezzo__Dennis_C.",2,NA,NA,NA,2
"Fu__Siwei",8,NA,NA,NA,8
"Fu__Xiang",2,NA,2,NA,NA
"G\'{o}mez-S\'{a}nchez__Eduardo",4,NA,NA,NA,4
"G\""{u}lbahar__Yasemin",1,NA,1,NA,NA
"Ga\v{s}evi\'{c}__Dragan",7,NA,5,4,NA
"Gainer__Mike",6,NA,6,NA,NA
"Gajos__Krzysztof_Z.",13,5,9,NA,NA
"Gal__Kobi",2,NA,NA,NA,2
"Gal__Lilach",4,NA,NA,4,NA
"Gallagher__Silvia",1,NA,1,NA,NA
"Galyardt__April",1,NA,1,NA,NA
"Galyean__Tinsley",4,NA,4,NA,NA
"Gamage__Dilrukshi",5,NA,NA,5,NA
"Gamero-Garrido__Alexander",2,NA,2,NA,NA
"Gantayat__Neelamadhav",2,NA,NA,2,NA
"Garaizar__Pablo",4,NA,NA,4,NA
"Garcia__Daniel",2,2,NA,NA,NA
"Garcia__Daniel_D.",2,2,NA,NA,NA
"Gardner__Josh",3,NA,NA,3,NA
"Gattani__Neelesh",5,NA,NA,NA,5
"Gaved__Mark",1,NA,NA,NA,1
"Geigle__Chase",6,NA,2,2,4
"Gelman__Ben_U.",6,NA,6,NA,NA
"Getoor__Lise",4,4,NA,NA,NA
"Ghosh__Arpita",4,4,NA,NA,NA
"Giannakos__Michail_N.",2,2,NA,NA,NA
"Gil__Silvia",3,NA,3,NA,NA
"Gillet__Denis",2,NA,NA,2,NA
"Ginn__Jasper",4,NA,2,2,NA
"Glassman__Elena",16,NA,8,8,NA
"Glassman__Elena_L.",3,2,2,NA,NA
"Gmiterko__Dominik",4,NA,NA,4,NA
"Gobert__Janice",2,NA,NA,2,2
"Goel__Ashok",16,NA,11,1,5
"Goel__Ashok_K.",4,NA,4,NA,NA
"Goel__Sharad",2,NA,NA,2,NA
"Gogel__Hannah",7,NA,7,NA,NA
"Gold__Robert",2,NA,NA,NA,2
"Goldberg__Benjamin_S.",2,NA,NA,2,NA
"Goldberg__Ken",8,NA,8,NA,NA
"Goldfarb__Daniel",1,NA,NA,NA,1
"Goldin__Ilya",1,NA,1,NA,NA
"Goldman__Max",3,2,NA,2,NA
"Goldman__Pam",6,6,NA,NA,NA
"Goldwasser__Dan",7,7,NA,NA,NA
"Golshan__Behzad",2,2,NA,NA,NA
"Gonda__Donn_Emmanuel",2,NA,NA,NA,2
"Gong__Yue",1,NA,1,NA,NA
"Gonzalez-Brenes__Jos\'{e}_P.",3,NA,3,NA,NA
"Goodell__Jim",3,NA,NA,NA,3
"Gopalsamy__Rahul",3,NA,NA,3,NA
"Gordon__Geoffrey_J.",3,NA,3,NA,NA
"Gorman__Andrew",7,NA,NA,NA,7
"Goswami__Mononito",3,NA,NA,NA,3
"Gottwald__Stephanie",4,NA,4,NA,NA
"Goudzwaard__Mike",6,NA,NA,NA,6
"Graesser__Arthur_C.",8,3,NA,NA,5
"Graziano__Rocko",17,NA,NA,NA,17
"Green__Aaron",1,NA,NA,NA,1
"Grello__Thomas_M.",4,NA,2,NA,4
"Grimaldi__Phillip",5,NA,NA,NA,5
"Grimaldi__Phillip_J.",5,NA,NA,5,NA
"Grover__Shuchi",5,2,3,NA,NA
"Gualtieri__Eugene",6,6,NA,NA,NA
"Guenaga__Mariluz",4,NA,NA,4,NA
"Guibas__Leonidas",3,NA,3,NA,NA
"Guimbretiere__Francois",4,NA,4,NA,NA
"Gujrania__Swar",8,NA,NA,NA,8
"Guo__Philip_J.",12,8,NA,1,3
"Gupta__Monika",2,NA,NA,2,NA
"Gupta__Nakull",10,NA,10,NA,NA
"Gustafsson__Niklas",9,NA,NA,NA,9
"Guth__Ondrej",7,NA,NA,NA,7
"Gutowski__Kevin",3,NA,NA,3,NA
"H\r{a}klev__Stian",3,NA,NA,3,NA
"Habermehl__Kyle",2,NA,2,NA,NA
"Hadzilacos__Thanasis",3,NA,NA,3,NA
"Haimovitz__Kyla",4,NA,4,NA,NA
"Halawa__Sherif",3,NA,1,NA,2
"Halfond__Jay",4,NA,4,NA,NA
"Halimi__Wissam",2,NA,NA,2,NA
"Hammer__Jessica",7,NA,7,4,NA
"Hamonic__Ella",7,NA,NA,3,6
"Hampton__Andrew_J.",5,NA,NA,NA,5
"Han__Donghoon",3,NA,NA,NA,3
"Han__Kyungsik",3,NA,3,NA,NA
"Han__Qiuyi",6,6,NA,NA,NA
"Haniya__Samaa",0,NA,NA,NA,0
"Hao__Dan",5,NA,5,NA,NA
"Harandi__Negar_M.",5,NA,NA,5,NA
"Harandi__Negar_Mohaghegh",6,NA,NA,NA,6
"Harrak__Fatima",3,NA,NA,NA,3
"Harrell__D._Fox",1,NA,NA,NA,1
"Hartman__Kevin",5,NA,NA,NA,5
"Hartmann__Bj\""{o}rn",6,NA,NA,6,NA
"Hartmann__Bjoern",5,4,3,NA,NA
"Hatano__Kohei",7,NA,NA,NA,7
"Hauff__Claudia",4,NA,3,3,NA
"Hauswirth__Matthias",3,NA,3,NA,NA
"Hawkins__Robert",4,NA,4,NA,NA
"Haynes__Carl_C.",0,NA,NA,NA,0
"Haynes__Daniel_F.",3,NA,3,NA,NA
"Head__Andrew",6,NA,NA,6,NA
"Hearst__Marti_A.",6,5,3,NA,NA
"Hecht__Brent",8,NA,NA,NA,8
"Heffernan__Neil",25,NA,19,4,5
"Heffernan__Neil_T.",10,NA,2,8,1
"Hellas__Arto",2,NA,NA,2,NA
"Hellman__Scott",7,NA,NA,NA,7
"Hemberg__Erik",11,NA,NA,NA,11
"Henderson__Rachel",5,NA,NA,NA,5
"Heo__Jaewe",8,NA,NA,NA,8
"Hern\'{a}ndez_Rizzardini__Rocael",9,NA,NA,NA,9
"Herodotou__Christothea",4,NA,NA,NA,4
"Hershkovitz__Arnon",4,NA,NA,4,NA
"Hicks__Catherine_M.",3,NA,3,NA,NA
"Hill__Benjamin_Mako",1,NA,NA,1,NA
"Hiron__Mathias",7,NA,NA,3,6
"Ho__Andrew",8,6,3,NA,NA
"Holmes__Wayne",1,NA,NA,NA,1
"Hossain__Zahid",3,NA,NA,3,NA
"Hou__Brian",5,NA,5,NA,NA
"Houben__Geert-Jan",4,NA,3,3,NA
"Hough__Heather",7,NA,7,NA,NA
"Houston__Stacey_L.",3,NA,NA,3,NA
"Howley__Iris",4,NA,4,NA,NA
"Hsieh__Gary",2,NA,NA,2,NA
"Hu__Xiao",3,NA,NA,3,NA
"Hu__Zhiting",4,NA,4,NA,NA
"Huang__Allen",8,NA,8,NA,NA
"Huang__Bert",4,4,NA,NA,NA
"Huang__Jonathan",7,4,3,NA,NA
"Hudgins__Will",5,NA,NA,NA,5
"Huttner-Loan__Elizabeth",2,NA,NA,2,NA
"Hyde__Embriette_R.",5,NA,NA,5,NA
"Igo__Michele",3,NA,NA,3,NA
"Ihantola__Petri",2,NA,NA,2,NA
"Iniesto__Francisco",8,NA,NA,3,5
"Irish__India",19,NA,NA,NA,19
"Irish__Liam",11,NA,11,NA,NA
"Isbell__Charles",2,NA,2,NA,1
"Isbell__Charles_L.",2,NA,2,NA,NA
"Jackson__Mighel",6,NA,NA,NA,6
"Jacobs__Charles",3,3,NA,NA,NA
"Jain__Sakshi",3,NA,3,NA,NA
"Janisciewcz__Phil",5,NA,5,NA,NA
"Jardine-Wright__Lisa",5,NA,5,NA,NA
"Jeong__Soojeong",5,NA,5,NA,NA
"Jhaveri__M._Hanif",2,2,NA,NA,NA
"Jia__Julianna_Z.",2,NA,NA,NA,2
"Jia__Julianna_Zhuxin",4,NA,4,NA,NA
"Jiang__Liwei",6,NA,NA,NA,6
"Jibril__Warfa",4,NA,4,NA,NA
"Jin__Hyoungwook",3,NA,NA,NA,3
"Jin__Wan_Qi",2,NA,NA,2,NA
"Jing__Shan",10,NA,NA,NA,10
"Jo__Kyung_Je",2,NA,NA,NA,2
"Joachims__Thorsten",2,NA,2,NA,NA
"Johanes__Petr",0,NA,NA,0,0
"Johri__Aditya",7,NA,7,NA,NA
"Joksimovi\'{c}__Sre\'{c}ko",7,NA,5,4,NA
"Joseph__Sam",8,NA,8,NA,NA
"Joyner__David",8,NA,1,NA,7
"Joyner__David_A.",44,NA,15,0,31
"Ju__An",5,NA,4,2,NA
"Jun__Eunice",2,NA,NA,2,NA
"Jung__Malte",4,NA,4,NA,NA
"Juniwal__Garvit",3,NA,3,NA,NA
"Kaashoek__Nicolaas",4,NA,4,NA,NA
"Kalz__Marco",2,NA,2,NA,NA
"Kannan__Anitha",2,2,NA,NA,NA
"Kantor__Avner",1,NA,NA,NA,1
"Kao__Kevin",1,NA,1,NA,NA
"Karayev__Sergey",5,NA,NA,3,2
"Karger__David",6,3,NA,3,NA
"Karimi__Hamid",4,NA,NA,NA,4
"Karypis__George",2,NA,NA,NA,2
"Kasunic__Anna",4,NA,4,NA,NA
"Kauffmann__Chris",9,NA,NA,9,NA
"Kaur__Prableen",2,NA,NA,NA,2
"Kawai__Yukiko",3,NA,3,NA,NA
"Kay__Jennifer_S.",5,1,2,NA,4
"Keegan__Brian",2,NA,2,NA,NA
"Keerativoranan__Nopphon",2,NA,NA,NA,2
"Kelly__Kim_M.",1,NA,1,NA,NA
"Kenthapadi__Krishnaram",4,4,NA,NA,NA
"Kerman__Ian",0,NA,NA,NA,0
"Khalil__Mohammad",2,NA,NA,2,NA
"Khazane__Anish",4,NA,NA,NA,4
"Kiczales__Gregor",0,NA,0,NA,NA
"Kim__Byungsoo",8,NA,NA,NA,8
