"Author","Degree_13_20","Degree_13_14","Degree_15_16","Degree_17_18","Degree_19_20"
"Boer__D.",2,NA,NA,NA,2
"Bogarín__A.",3,3,NA,NA,NA
"Bogdanova__D.",5,NA,NA,NA,5
"Bohuslavek__M.",3,NA,NA,3,NA
"Bondu__A.",2,NA,2,NA,NA
"Bono__M.",6,6,NA,NA,NA
"Bontempi__G.",4,NA,NA,NA,4
"Booth__S.",3,NA,3,NA,NA
"Bore__N.",4,NA,NA,4,NA
"Boroowa__A.",12,NA,9,5,NA
"Boroujeni__M.S.",9,NA,7,3,NA
"Bos__N.",1,NA,1,NA,NA
"Bosch__N.",11,NA,NA,NA,11
"Boscolo__C.",3,NA,3,NA,NA
"Bote-Lorenzo__M.L.",1,NA,NA,1,NA
"Botelho__A.F.",6,NA,2,2,5
"Bouadi__T.",3,NA,NA,3,NA
"Bouchet__F.",3,NA,NA,3,3
"Bouhineau__D.",3,NA,3,NA,NA
"Boullé__M.",2,NA,2,NA,NA
"Bouslimani__Y.",4,NA,NA,4,NA
"Bowe__M.",8,NA,NA,8,NA
"Bowers__A.",4,NA,NA,4,NA
"Bowers__A.J.",3,NA,3,NA,NA
"Boyer__A.",6,NA,6,NA,NA
"Boyer__K.E.",5,NA,5,NA,NA
"Bracco__G.",9,NA,NA,NA,9
"Bradbury__A.E.",5,NA,NA,5,NA
"Bradford__A.",3,NA,NA,NA,3
"Bransen__L.",1,NA,NA,NA,1
"Braun__S.",3,3,NA,NA,NA
"Brennan__A.",2,NA,NA,2,NA
"Briggs__C.",3,NA,NA,NA,3
"Brinkhuis__M.J.S.",4,NA,NA,NA,4
"Brockman__J.",4,4,NA,NA,NA
"Brodnick__R.",3,3,NA,NA,NA
"Brohinsky__J.",3,NA,NA,NA,3
"Brooks__C.",24,1,4,9,15
"Brooks__C.A.",3,2,2,NA,NA
"Broos__T.",4,NA,NA,4,NA
"Brown__M.G.",7,NA,6,3,NA
"Brown__T.",4,4,NA,NA,NA
"Brunskill__E.",1,NA,NA,NA,1
"Brusman__L.",4,NA,NA,NA,4
"Bruza__P.",11,NA,11,NA,NA
"Bryan__A.",2,NA,2,NA,NA
"Bryant__M.",6,NA,NA,NA,6
"Buckingham_Shum__S.",18,18,NA,NA,NA
"Budhathoki__K.",2,NA,NA,NA,2
"Bull__S.",9,4,6,NA,NA
"Bumbalough__M.",6,NA,NA,6,NA
"Burns__S.",4,NA,NA,4,NA
"Bushway__D.",1,1,NA,NA,NA
"Butail__S.",4,NA,NA,NA,4
"Cabot__V.",3,NA,NA,NA,3
"Caelen__O.",4,NA,NA,NA,4
"Calvo__R.A.",5,3,2,NA,NA
"Camelo__R.",6,NA,NA,NA,6
"Camilleri__V.",3,3,NA,NA,NA
"Campbell__A.",6,NA,NA,6,NA
"Campen__C.K.-V.",1,NA,1,NA,NA
"Cappelli__A.",3,NA,NA,NA,3
"Carlos_Núñez__J.",3,3,NA,NA,NA
"Carlsson__N.",3,NA,NA,NA,3
"Carnell__S.",3,NA,NA,NA,3
"Carvalho__P.",2,NA,NA,NA,2
"Carvalho__P.F.",1,NA,NA,NA,1
"Casanova__M.A.",6,3,NA,NA,4
"Casas__A.P.",7,NA,NA,NA,7
"Castells__J.",5,NA,NA,5,NA
"Cater__E.",2,NA,NA,NA,2
"Catete__V.",5,NA,NA,NA,5
"Cattuto__C.",4,NA,4,NA,NA
"Cavalcanti__A.P.",10,NA,NA,NA,10
"Cechák__J.",2,NA,NA,NA,2
"Cechinel__C.",7,NA,NA,NA,7
"Celis__S.",4,NA,NA,NA,4
"Cemgil__A.T.",1,NA,NA,NA,1
"Cerezo__R.",5,5,NA,NA,NA
"Chang__K.-M.",3,3,NA,NA,NA
"Chang__W.-C.",2,2,NA,NA,NA
"Chapel__L.",4,NA,4,NA,NA
"Chapman__J.",3,NA,3,NA,NA
"Chapman__S.",4,NA,4,NA,NA
"Charleer__S.",19,NA,15,4,NA
"Charles__C.",3,3,NA,NA,NA
"Chatti__M.A.",5,4,3,NA,NA
"Chaturvedi__S.",3,NA,NA,NA,3
"Chauhan__P.",6,NA,NA,6,NA
"Chavan__P.",1,NA,NA,NA,1
"Chavez__O.",3,NA,3,NA,NA
"Chawla__N.V.",10,4,4,NA,5
"Chen__B.",14,1,5,3,5
"Chen__G.",19,NA,3,8,8
"Chen__L.",1,NA,NA,1,NA
"Chen__M.-R.A.",5,NA,NA,NA,5
"Chen__W.",15,NA,8,8,NA
"Chen__X.",2,NA,2,NA,NA
"Chen__Y.",5,NA,3,2,NA
"Cheng__B.H.",3,NA,3,NA,NA
"Cheng__Y.",10,NA,NA,NA,10
"Cheong__C.W.L.",3,NA,NA,3,NA
"Chetlur__M.",6,NA,6,NA,NA
"Chiera__B.",2,2,NA,NA,NA
"Chiluiza__K.",7,2,NA,5,NA
"Ching__C.C.",2,NA,2,NA,NA
"Chinis__G.",4,4,NA,NA,NA
"Chiu__M.M.",4,1,1,2,NA
"Cho__Y.-S.",5,NA,NA,5,NA
"Choi__H.",9,NA,NA,2,8
"Chorianopoulos__K.",4,4,NA,NA,NA
"Chounta__I.-A.",3,NA,2,NA,1
"Chow__B.W.-Y.",2,NA,NA,2,NA
"Chu__S.",4,NA,4,NA,NA
"Chu__S.K.W.",6,NA,3,4,NA
"Chua__Y.H.V.",2,NA,NA,NA,2
"Chun-Wei_Lin__J.",2,NA,NA,NA,2
"Cicchinelli__A.",6,NA,NA,6,NA
"Clérot__F.",3,NA,NA,3,NA
"Clayphan__A.",5,NA,5,NA,NA
"Clow__D.",11,5,4,5,NA
"Cobo__C.",3,NA,NA,3,NA
"Coffrin__C.",3,3,3,NA,NA
"Colavincenzo__A.",9,NA,NA,NA,9
"Collins-Thompson__K.",2,NA,NA,2,NA
"Colvin__C.",7,2,3,5,NA
"Colvin__K.",2,NA,2,NA,NA
"Conati__C.",5,NA,NA,5,NA
"Cooper__A.",14,NA,11,4,NA
"Cooper__K.",1,NA,NA,1,NA
"Cooper__M.",2,NA,2,NA,NA
"Coopey__E.",2,2,NA,NA,NA
"Cornuéjols__A.",2,NA,2,NA,NA
"Corrin__L.",14,3,11,6,NA
"Corwin__K.",1,NA,NA,1,NA
"Cote__M.",3,NA,NA,3,NA
"Cotos__E.",2,NA,NA,NA,2
"Cremonesi__P.",3,NA,NA,NA,3
"Cross__S.",13,NA,12,3,NA
"Crossley__S.",16,NA,15,2,NA
"Crossley__S.A.",5,NA,NA,5,NA
"Cuadros__J.",2,NA,2,NA,NA
"Cubillé__J.",3,NA,3,NA,NA
"Cui__Y.",3,NA,2,2,1
"Cukurova__M.",12,NA,4,7,3
"Cuypers__H.",4,4,NA,NA,NA
"d'Aquin__M.",4,4,NA,NA,NA
"D'Aquin__M.",6,1,5,NA,NA
"D'mello__S.",5,NA,5,NA,NA
