,x
McCarthy__K.S,1.5
Nogaito__I,1.5
Stahovich__T.F.,1.5
Yasuda__K,1.5
Gross__M.,1.25
Klingler__S,1.25
Solenthaler__B,1.25
Wampfler__R,1.25
Dillenbourg__P.,1
Harrak__F,1
Kidzi≈.ski__≈.,1
Labutov__I,1
Nkambou__R,1
Tato__A,1
Lester__J.C.,0.8
Vail__A.K,0.8
Wiebe__E.N,0.8
Wiggins__J.B,0.8
Grimaldi__P.J,0.666666667
d‚..Inverno__M.,0.5
Ventura__S.,0.5
Yee.King__M,0.5
≈.ih√.k__J,0
≈.ih√.k__J.,0
Abdi__S,0
Abhinav__K,0
Acholonu__U,0
Adjei__S.A,0
Afzal__S,0
Agarwal__D,0
Aghababyan__A,0
Agnihotri__L,0
Agrawal__R,0
Agrawal__S.,0
Ai__F,0
Akram__B,0
al.Rifaie__M.M,0
Albacete__P,0
Albrecht__E.,0
Alexandron__G,0
Alexandron__G.,0
Alferez__S.V.,0
Allessio__D,0
Almeda__M.,0
Almeda__Ma.V,0
ALSaad__F,0
Alstrup__S,0
Alstrup__S.,0
An__D,0
An__T..S,0
Andersen__E,0
Anderson__C.J,0
Anderson__H,0
Andres.Bray__J.M.L,0
Andrews.Todd__J,0
Ang__A,0
Angert__T,0
Arbanowski__S.,0
Arnav__A.,0
Arora__A,0
Arroyo__I.,0
Arthurs__N,0
Asano__Y,0
Asbell.Clarke__J,0
Ashenafi__M.M,0
Askinadze__A,0
Atapattu__T,0
Aubert__O,0
Aulck__L,0
Aung__A.M,0
B√.land__S,0
Baba__Y,0
Babbitt__T.,0
Babel__N,0
Bachelet__R,0
Bachelet__R.,0
Backenk√.hler__M,0
Bahargam__S,0
Baikadi__A,0
Bailey__J,0
Baker__R.,0
Baker__R.S.J.d,0
Baker__R.S.J.D.,0
Bakhtiari__D,0
Balyan__R,0
Bao__Y,0
Bar.Ilan__O,0
Baraniuk__R.,0
Barmaki__R,0
Barmaki__R.,0
Barr__A,0
Basu__S.,0
Batchelder__W.H.,0
Bauer__A,0
Beauchamp__M.H.,0
Bechger__T,0
Ben.David__Y,0
Berland__M.,0
Berman__S,0
Berman__S.R,0
Bernacki__M.L,0
Bernacki__M.L.,0
Beuster__L,0
Bhanot__R.,0
Bhartiya__D,0
Bhat__P,0
Bhat__S,0
Bhat__S.,0
Bienkowski__M,0
Bihani__A,0
Biswas__A,0
Biswas__S,0
Bittencourt__I.I,0
Blanchard__N,0
Blikstein__P.,0
Blumenstock__J,0
Boodhwani__A,0
Borge__M,0
Boroujeni__M.S,0
Bosch__N.,0
Boticario__J.G,0
Boticario__J.G.,0
Boubekki__A,0
Boughoula__A,0
Boumi__S,0
Bourda__Y,0
Bouthillier__I.B,0
Bouwers__E.,0
Bovo__A,0
Bowers__A.J.,0
Boyer__K.E.,0
Bradfield__F,0
Bradford__A,0
Brefeld__U.,0
Breitfeller__L,0
Breslow__L.,0
Brinton__C,0
Broekman__F,0
Broisin__J,0
Brooks__C,0
Brooks__C.,0
Brown__R,0
Brown__R.,0
Brunskill__E,0
Bryant__T,0
Buffett__S,0
Buffum__P,0
Bulger__M,0
Burdescu__D.D.,0
Burleson__W.,0
Burnett__V,0
Busey__T,0
