,x
Echeverria__V.,260.3429622
Aguilar__S.,253.8728783
Jacovina__M.E.,249.5247117
Choi__H.,229.6816972
De_Liddo__A.,222.9577634
Van_Inwegen__E.G.,219.2423456
Brown__M.G.,219.0854461
Brooks__C.A.,183.8345453
Fortenbacher__A.,183.2279418
Snow__E.L.,174.7758649
Ocumpaugh__J.,152.333898
Gardner__J.,150.0647619
Fudge__A.,148.3572447
Taub__M.,148.2254634
Schulte__J.,133.1151289
Olsen__J.K.,122.2953028
Cavalcanti__A.P.,96.88420813
Govaerts__S.,95.13008071
Pistilli__M.D.,89.83638675
Uzir__N.A.,83.62103962
Allen__L.,82.58222306
Santos__J.L.,80.51212569
Agnihotri__L.,59.40801629
Hickey__D.T.,46.5
Uzir__N.A.A.,46.03055486
Quick__J.,45
Hemberg__E.,40.26288547
O.Reilly__U..M.,40.26288547
Hsiao__I..H.,31
Ley__T.,27
Luengo__V.,27
Bosch__N.,22.66666667
Munshi__A.,22.66666667
Beheshitha__S.S.,22.30208534
Farrow__E.,22.30208534
Sher__V.,22.30208534
Ternier__S.,20.93225698
Kumar__V.,20
Mojarad__S.,18.48202614
Graf__S.,18
Houben__G..J.,17.97716973
Quigley__D.,17
Douzal.Chouakria__A.,16
Malinowski__S.,16
De_Weerdt__J.,15
Hu__Y.,15
Romero__C.,15
Perret__C.,14.66666667
Segal__A.,14
Tissenbaum__M.,14
Yang__C.,13.5
Sergio__G..S.,12.5
Shaffer__D.W.,11.33333333
Lester__J.C.,10
Chen__Y.,9
Klamma__R.,9
Gross__M.,8
K√.ser__T.,8
Shimada__A.,7
Herder__E.,6.917947233
Taibi__D.,6.917947233
Eagan__B.,6.666666667
Fougt__S.S.,6
Misfeldt__M.,6
Mouri__K.,5.5
Cerezo__R.,5
Rangwala__H.,5
S√.nchez.Santill√.n__M.,5
Johnson__M.,4.583333333
Ziebarth__S.,4.333333333
Boyer__K.E.,4
Ezen.Can__A.,4
Kloos__C.D.,4
Pel√.nek__R.,4
Schulte__O.,4
Whitmer__J.,4
Casanova__M.A.,3
Holstein__K.,3
Jayaprakash__S.M.,3
Laur√.a__E.J.M.,3
Motz__B.,3
Nunes__B.P.,3
Seitlinger__P.,3
Botelho__A.F.,2.666666667
Flanagan__B.,2.666666667
Okubo__F.,2.666666667
Pappalardo__L.,2.333333333
Fishman__B.,2
Hershkovitz__A.,2
Jo__I..H.,2
Karypis__G.,2
Munguia__P.,2
Park__J.,2
Rodriguez__F.,2
Tan__S.C.,2
Warschauer__M.,2
Nguyen__Q.,1.875
Ellis__R.A.,1.866666667
Peffer__M.,1.5
Taniguchi__Y.,1.333333333
Depaepe__F.,1
Larmuseau__C.,1
Pellungrini__R.,1
Van_Haaren__J.,1
Xu__Z.,1
Ulrich_Hoppe__H.,0.75
Chatti__M.A.,0.666666667
Chen__M..R.A.,0.666666667
Muslim__A.,0.666666667
Schroeder__U.,0.666666667
Varatharaj__A.,0.666666667
Carlsson__N.,0.5
Cui__Y.,0.5
Lambrix__P.,0.5
Li__F.,0.5
Shen__X.,0.5
Sumner__T.,0.5
Ebner__M.,0.333333333
Guidotti__R.,0.333333333
Monreale__A.,0.333333333
Saranti__A.,0.333333333
Taraghi__B.,0.333333333
Vatrapu__R.,0.333333333
Goodrich__V.,0.25
Akintunde__R.O.,0.2
Lynch__C.,0.2
Rutherford__T.,0.2
Shabrina__P.,0.2
Simsek__D.,0.2
√.berg__G.,0
≈.evarac__Z.,0
≈.ourek__G.,0
≈.elezn√.__F.,0
Aalbers__B.,0
Abdalla__A.,0
Abdi__S.,0
Abdiprano__A.,0
Absar__R.,0
Abu.El.Haija__S.,0
Addison__K.L.,0
Adjei__S.,0
Adjei__S.A.,0
Admiraal__W.,0
Agrawal__S.,0
Aguirre__C.,0
Ahmadi__Z.,0
Ahn__J.,0
Aitken__A.,0
Ak√.apinar__G.,0
Alabi__H.,0
Alavi__H.S.,0
Albert__D.,0
Alberto__R.,0
Alex_Ambrose__G.,0
Alexander,0
Alexander__S.,0
Alexandron__G.,0
Alhadad__S.S.J.,0
Aljohani__N.R.,0
Allard__T.,0
Allen__G.,0
Allsopp__B.B.,0
Alonso__G.E.,0
Alterman__R.,0
Alvarez__C.P.,0
Alyuz__N.,0
Ambrosino__F.,0
Amon__M.J.,0
Amsaleg__L.,0
Anagnostou__I.,0
Anderson__T.,0
Andrade.Pacheco__R.,0
Andrade__A.,0
Andres__J.M.A.L.,0
Andres__J.M.L.,0
Anggara__T.,0
Ansari__M.,0
Aoshima__T.,0
Arbanowski__S.,0
Arcuria__P.,0
Arora__P.,0
Asano__Y.,0
Asbell.Clarke__J.,0
